route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
A,30.6535876242653,76.74172275972023,5.70726672990771,Speed Bump,7.4847493,0.65,0.9999934434890747,0.4866771866817452,4.35436445236206,5.001572074890136,1.567543625831604,5.001572074890136,16
A,30.653668409740533,76.7416253672749,7.220786746715487,Speed Bump,3.2561526,0.65,0.9923306703567505,0.1778013634670723,1.8131867027282729,2.257004203796388,1.1435993909835815,2.257004203796388,16
A,30.653772514278746,76.74149430284534,9.024616345478815,Speed Bump,4.56742,0.65,0.9793015718460083,0.1532562721678703,2.779887256622315,2.9293875122070308,1.0709283351898191,2.9293875122070308,16
A,30.654017720016352,76.74118442876889,10.17280660347227,Speed Bump,10.0,0.65,0.9747549891471863,0.3617845499113185,10.736022350788117,7.444644393920898,2.5670716762542725,10.736022350788117,17
A,30.6541357542844,76.7410397682952,9.41766119866838,Speed Bump,7.276095,0.65,0.9800717830657959,0.3341480713433285,4.981283721923829,4.113834800720216,1.827741622924805,4.981283721923829,17
A,30.654342146840467,76.74078768939538,7.209534126536839,Speed Bump,7.942257,0.65,0.4175002872943878,0.5788779720096112,4.000226554870606,5.927594604492187,1.4326995611190796,5.927594604492187,18
A,30.654431933498053,76.74068396100228,6.969011280542722,Pothole,10.0,0.95,0.9999905824661255,0.8256309136484613,9.704715800881386,9.014335098266601,2.200871229171753,9.704715800881386,133
A,30.654518899423618,76.74058482773414,6.808382634399969,Speed Bump,3.5069206,0.65,0.8309064507484436,0.07508938780215836,1.9711127853393569,2.412537994384765,1.1565134525299072,2.412537994384765,19
B,30.658641988155882,76.73721736962392,5.177242500290707,Speed Bump,4.4563932,0.65,1.0,0.2686615880021044,2.7392092323303228,2.8312820816040034,2.790934801101685,2.8312820816040034,20
B,30.658742013006325,76.73714703461293,7.3380428821809485,Speed Bump,3.3997226,0.65,0.6960449814796448,0.08241024195092972,2.0620403861999517,2.1876129531860347,1.259144306182861,2.1876129531860347,20
B,30.660189959891618,76.73613013265542,4.200388086919162,Speed Bump,2.6742187,0.65,0.8132495284080505,0.06708738904559236,1.5260482406616216,1.8167251968383802,0.9301249980926514,1.8167251968383802,21
B,30.66025004110984,76.73608837381201,3.689988417510633,Speed Bump,1.9716858,0.65,0.6362003087997437,0.046458225151930585,1.0450902557373052,1.4195169830322278,1.0827593803405762,1.4195169830322278,21
B,30.66145189500969,76.735263046691,2.6449365499442656,Speed Bump,5.8442297,0.65,0.999991774559021,0.19162811795460688,3.3517718887329107,3.953515472412109,1.467409372329712,3.953515472412109,22
B,30.661683591952965,76.73510271189977,4.2063473089257775,Speed Bump,4.9483576,0.65,0.6149811148643494,0.1127512516166655,3.1842742538452153,3.001172485351562,1.6421326398849487,3.1842742538452153,23
B,30.66174766236645,76.7350557170861,4.031468869922949,Speed Bump,3.943372,0.65,0.4633300006389618,0.06675703185913794,2.0620403861999517,2.867174568176269,1.6229510307312012,2.867174568176269,23
C,30.66255364998897,76.73448816805767,3.8547740090796663,Speed Bump,3.506921,0.65,0.9799572825431824,0.1935683989750766,2.026147899627687,2.3575033569335933,1.2935489416122437,2.3575033569335933,24
C,30.663215459010075,76.73400448957844,5.459833778011303,Speed Bump,4.8201017,0.65,0.9999998807907104,0.17432111023372263,2.9043136215209966,3.1208137893676753,1.839094638824463,3.1208137893676753,25
C,30.6633184750075,76.73392787374847,7.879720362345023,Speed Bump,4.479364,0.65,1.0,0.4608370773404914,2.6339250183105474,2.9652799987792964,2.2421600818634038,2.9652799987792964,25
