t_start,t_end,t_mid,duration,event_type,severity,confidence,dip_magnitude,bump_magnitude,gyro_peak,accel_x_peak,total_z_dev
23.03399999999965,23.077000000004773,23.055500000002212,0.043000000005122274,Speed Bump,8.017391,0.65,6.238114,3.783624999999999,0.06295251259481228,0.398405,6.238114
65.70900000000256,65.7450000000099,65.72700000000623,0.036000000007334165,Speed Bump,8.402158,0.65,5.848682,4.654014999999999,0.4427331698111177,0.24347,5.848682
65.77700000000186,65.84500000000116,65.81100000000151,0.06799999999930151,Speed Bump,10.0,0.65,7.438114000000001,10.252622,0.7412340264484625,2.173281,10.252622
66.2450000000099,66.27599999999802,66.26050000000396,0.030999999988125637,Speed Bump,5.4178295,0.65,3.863836000000001,2.9084509999999995,0.3498022155375806,0.867996,3.863836000000001
81.68400000000838,81.70300000000861,81.6935000000085,0.01900000000023283,Rough Patch,1.1811177,0.3,1.4763970000000004,0.0,0.05157614968180544,0.537787,1.4763970000000004
100.7039999999979,100.74599999999919,100.72499999999854,0.04200000000128057,Road Bump,2.818407,0.5,0.0,1.8789379999999998,0.24564099212672139,0.717847,1.8789379999999998
109.15400000000955,109.19700000000012,109.17550000000483,0.04299999999057036,Pothole,3.5116808,0.71771,2.3916520000000006,0.0,0.3208492601487496,1.185045,2.3916520000000006
120.81600000000617,120.97200000000885,120.89400000000751,0.15600000000267755,Speed Bump,7.636933,0.65,4.864634000000001,4.681531999999999,0.25467108604433286,0.85005,4.864634000000001
129.5,129.5500000000029,129.52500000000146,0.05000000000291038,Speed Bump,5.6614184,0.65,4.199429,2.877343999999999,0.2292674214732656,1.134198,4.199429
261.53600000000733,261.5770000000048,261.55650000000605,0.04099999999743886,Rough Patch,0.5092128,0.3,0.6365160000000003,0.3032649999999997,0.017440274883154794,1.086342,0.6365160000000003
261.9890000000014,262.04400000000896,262.0165000000052,0.055000000007566996,Rough Patch,0.6700112,0.3,0.8375140000000005,0.23147999999999946,0.012775637048695459,0.735793,0.8375140000000005
353.69800000000396,353.72200000000885,353.7100000000064,0.024000000004889444,Speed Bump,2.2147975,0.65,1.5595480000000013,1.2089489999999987,0.04102729761999929,1.047458,1.5595480000000013
392.99199999999837,393.0170000000071,393.00450000000274,0.02500000000873115,Speed Bump,4.338187,0.65,2.8558590000000006,2.5668749999999996,0.17479126497053565,0.614955,2.8558590000000006
393.0590000000084,393.1100000000006,393.0845000000045,0.05099999999220017,Speed Bump,6.8109303,0.65,5.675801000000001,2.8378619999999994,0.17304112803897229,0.416949,5.675801000000001
446.1429999999964,446.25100000000384,446.1970000000001,0.10800000000745058,Speed Bump,2.1693327,0.65,1.5756990000000002,1.135966999999999,0.07748123740622628,0.880559,1.5756990000000002
492.88000000000466,492.9140000000043,492.8970000000045,0.033999999999650754,Rough Patch,0.5872192,0.3,0.7340239999999998,0.0,0.04585833918710969,0.734597,0.7340239999999998
511.474000000002,511.52700000000186,511.5005000000019,0.052999999999883585,Rough Patch,0.474756,0.3,0.5934450000000009,0.17225799999999936,0.01599329312555735,0.870987,0.5934450000000009
568.4230000000098,568.4250000000029,568.4240000000063,0.001999999993131496,Rough Patch,1.0542984,0.3,1.3178730000000005,0.0,0.08650808416558536,0.57667,1.3178730000000005
568.6160000000091,568.6640000000043,568.6400000000067,0.04799999999522697,Road Bump,1.3809195,0.5,0.0,0.9206129999999995,0.07278540020498617,0.140578,0.9206129999999995
570.0369999999966,570.0580000000045,570.0475000000006,0.021000000007916242,Rough Patch,1.1567104,0.3,1.445888,0.0,0.04375810824293025,0.620937,1.445888
586.2100000000064,586.25,586.2300000000032,0.03999999999359716,Speed Bump,2.4904504,0.65,1.378292,1.7347710000000003,0.07359703835073801,0.851845,1.7347710000000003
625.2600000000093,625.3139999999985,625.2870000000039,0.053999999989173375,Speed Bump,4.129534,0.65,3.196238,1.9656789999999997,0.14286977753884827,1.92024,3.196238
637.346000000005,637.4459999999963,637.3960000000006,0.09999999999126885,Speed Bump,8.5462055,0.65,7.430936000000001,3.2518209999999996,0.13924002406635816,0.754936,7.430936000000001
646.0880000000034,646.1469999999972,646.1175000000003,0.05899999999382999,Pothole,9.64443,1.0,6.561743,13.701275999999998,0.8851690914034448,1.113859,13.701275999999998
646.2890000000043,646.3220000000001,646.3055000000022,0.03299999999580905,Speed Bump,10.0,0.65,11.983281,9.047237,0.6525508853361552,0.932004,11.983281
677.823000000004,677.8640000000014,677.8435000000027,0.04099999999743886,Speed Bump,10.0,0.65,9.318873,7.142550999999999,0.26032520982225293,1.574477,9.318873
677.9060000000027,677.9619999999995,677.9340000000011,0.055999999996856786,Speed Bump,8.759645,0.65,5.4574560000000005,5.492101,0.3133170393930084,1.200001,5.492101
680.2930000000051,680.3260000000009,680.309500000003,0.03299999999580905,Speed Bump,8.3619585,0.65,5.219968000000001,5.232479999999999,0.24499065540138468,2.313261,5.232479999999999
758.0200000000041,758.06700000001,758.043500000007,0.04700000000593718,Pothole,10.0,0.95,8.67999,7.189210000000001,1.0363953876204777,4.540979,8.67999
787.1399999999994,787.1790000000037,787.1595000000016,0.03900000000430737,Speed Bump,3.8873792,0.65,2.3581520000000005,2.501071999999999,0.12175931191083497,0.436092,2.501071999999999
787.7880000000005,787.8270000000048,787.8075000000026,0.03900000000430737,Speed Bump,4.766024,0.65,2.6375140000000004,3.320015999999999,0.13651360595193432,0.317647,3.320015999999999
800.9879999999976,801.0210000000079,801.0045000000027,0.033000000010360964,Pothole,3.715312,0.5,2.6536660000000003,0.0,0.26545640023740247,1.377668,2.6536660000000003
876.8000000000029,876.875,876.8375000000015,0.07499999999708962,Speed Bump,3.108755,0.65,2.3043140000000006,1.5816299999999988,0.09196887879603621,0.247059,2.3043140000000006
882.5590000000084,882.601999999999,882.5805000000037,0.04299999999057036,Speed Bump,2.14014,0.65,1.5266460000000013,1.148529,0.04623978894848029,0.272782,1.5266460000000013
