X_min,X_max,X_mean,X_std,Y_min,Y_max,Y_mean,Y_std,Z_min,Z_max,Z_mean,Z_std,mag_min,mag_max,mag_mean,mag_std,is_pothole,n_samples,trip,window_start
-195.0,202.0,-36.55555555555556,115.30357141150014,-226.0,511.0,106.0,179.30730914023306,-512.0,33.0,-260.1111111111111,144.3748550317267,70.24243731534378,751.045271604848,338.0504033780595,179.5609840643382,1,9,2,36.0
-187.0,18.0,-40.6,51.41698811352788,13.0,136.0,84.53333333333333,36.189992477970414,-462.0,-180.0,-250.0,63.74532662608818,180.93645293306707,503.44215159241486,272.29773028627585,71.86848693464971,0,15,2,38.0
-69.0,7.0,-33.15384615384615,21.50079123354857,103.0,165.0,131.76923076923077,18.81142797570687,-253.0,-210.0,-232.15384615384616,12.936805894252341,235.45275534595046,298.88292022127996,270.08526631793575,19.879126922490823,0,13,2,40.0
-170.0,222.0,27.178571428571427,68.17417481895104,-82.0,394.0,129.71428571428572,92.56729488125195,-453.0,6.0,-193.69642857142858,91.51227857562088,55.68662316930342,545.6207474061081,254.2177740336463,109.75891669449626,0,56,3,0.0
-300.0,155.0,-14.714285714285714,87.70113907993651,-107.0,439.0,113.35714285714286,95.56045740999863,-467.0,-50.0,-213.42857142857142,92.08010044498857,84.45708969648433,688.2514075539548,266.5252789734164,113.50955257283616,1,28,3,2.0
-136.0,209.0,7.923076923076923,79.64533067433929,-38.0,511.0,151.30769230769232,115.45554230317707,-461.0,-38.0,-239.69230769230768,118.46316182703876,81.76796438703852,677.9955752068003,303.4164486217543,148.50769552060007,0,26,3,4.0
-229.0,152.0,-19.193548387096776,88.8294557927786,-116.0,511.0,92.83870967741936,121.41958623268204,-512.0,-12.0,-204.19354838709677,127.48242620312321,50.6458290484024,758.752924211828,253.92446050007197,158.39807134213692,1,31,3,6.0
-176.0,122.0,-33.10526315789474,89.2677195954554,-17.0,480.0,175.47368421052633,135.5978452014216,-512.0,17.0,-249.94736842105263,152.81928566781798,31.416556144810016,642.8141255448577,336.5938563388769,175.4265390748093,0,19,3,8.0
-250.0,205.0,10.36,91.85113172955464,-54.0,511.0,153.76,184.4367165181597,-512.0,-10.0,-230.04,148.99569926679092,45.232731511594565,737.9573158387957,314.46260324211715,205.99609501684927,1,25,3,10.0
-347.0,181.0,-6.869565217391305,111.27103781457555,-5.0,365.0,121.95652173913044,100.27331270121485,-414.0,-13.0,-208.6086956521739,108.01036147173657,26.267851073127396,527.0246673543849,272.79932723939015,134.61396050218542,0,23,3,12.0
-206.0,159.0,-2.0,91.33976341633682,-198.0,341.0,102.52380952380952,125.87242939073523,-339.0,6.0,-193.04761904761904,105.68257782735917,34.336569426778794,453.2074580145389,262.76358452785036,118.71580140494395,0,21,3,14.0
-181.0,195.0,-2.25,84.06359200034221,-59.0,488.0,126.6,132.85345309776483,-423.0,6.0,-235.7,122.69233879912795,51.778373863998475,614.4501607128116,300.741089722407,144.6099822024023,0,20,3,16.0
-248.0,90.0,-39.10526315789474,82.8155177022952,-74.0,350.0,116.26315789473684,106.84856086278727,-463.0,-2.0,-203.57894736842104,119.36997585546406,72.3118247591637,522.9388109521036,265.5570386845919,135.99414168813016,0,19,3,18.0
-213.0,165.0,5.25,93.3078462224194,-47.0,414.0,142.08333333333334,130.6595182993655,-407.0,228.0,-171.83333333333334,159.57382478199725,100.269636480841,618.3963130549859,285.9399031956786,138.64476824044235,1,12,3,20.0
-191.0,144.0,-18.705882352941178,99.6828882040044,-41.0,388.0,135.76470588235293,117.16279745408282,-512.0,-123.0,-295.11764705882354,114.04482212396668,125.51493934986385,559.3871646721973,353.321097140481,133.0812311340432,0,17,3,22.0
-168.0,282.0,-6.4375,112.98615443385087,-61.0,352.0,107.875,101.91042328927891,-456.0,-32.0,-267.0625,111.49017263306214,119.6202324023825,518.6578833874985,322.8174445183205,119.88076373906314,0,16,3,24.0
-153.0,143.0,-8.4375,74.73450403762642,-29.0,446.0,116.5,105.37018079134153,-512.0,-80.0,-240.3125,102.9008738726256,93.83496150156401,537.9646828556685,287.40875220188286,126.75353706211398,0,16,3,26.0
-155.0,165.0,-4.25,84.75073745991831,-112.0,511.0,107.75,127.91183487074213,-512.0,-71.0,-213.3125,138.73883682570644,123.47469376354006,578.2499459576283,276.20681710534404,153.72941060361558,0,16,3,28.0
-157.0,167.0,39.53333333333333,78.64932012138156,-34.0,289.0,128.53333333333333,85.41183888795639,-512.0,21.0,-215.4,131.7461194874445,60.93439094632849,555.6995591144553,274.94647692433347,140.43943472862932,0,15,3,30.0
-121.0,190.0,5.222222222222222,93.83055386976127,-168.0,310.0,66.55555555555556,132.35987232718662,-270.0,-54.0,-143.11111111111111,67.19531141786017,96.20810776644555,412.66935917269166,220.41257984841303,84.82049791641855,0,9,3,32.0
-274.0,226.0,-9.846153846153847,126.10852844572234,-60.0,509.0,158.76923076923077,135.1871374435361,-483.0,-132.0,-265.38461538461536,92.58055823613081,163.24521432495348,714.1841499221332,343.48955496765734,143.1733841739203,1,13,3,34.0
-70.0,107.0,9.166666666666666,54.50050968161266,-132.0,176.0,44.5,75.92814585733892,-351.0,26.0,-158.25,114.45241005180566,84.6994687114388,375.598189559002,200.30758157339855,93.90929718376992,0,12,3,36.0
-512.0,7.0,-202.33333333333334,185.8840737903301,47.0,511.0,218.66666666666666,192.81827944696764,-512.0,-100.0,-370.0,184.40986958403283,138.7984149765407,860.5306502385606,506.5170959928587,273.5563893123825,1,6,3,38.0
-122.0,25.0,-43.46153846153846,47.42867581896872,22.0,249.0,135.15384615384616,82.92428998684575,-405.0,-41.0,-228.69230769230768,80.78307573646715,50.0199960015992,477.6421254454008,277.6147941125975,105.05944806766153,0,13,3,40.0
-158.0,-4.0,-39.84615384615385,41.208375089474146,53.0,227.0,127.84615384615384,43.456160320747216,-353.0,-217.0,-245.6153846153846,41.6884755547962,238.59170144831106,448.4439764340692,283.51879815560784,56.57614623822406,0,13,3,42.0
-205.0,114.0,18.55263157894737,59.93579782980991,-8.0,416.0,138.28947368421052,122.68936124571228,-423.0,-68.0,-216.1315789473684,84.00412616828055,129.634100452003,568.2367464358496,278.9087817338666,118.71226557540784,0,38,4,0.0
-155.0,227.0,51.32258064516129,76.55417103605583,-41.0,511.0,187.09677419354838,132.16982107310807,-512.0,-7.0,-228.67741935483872,119.78324162413303,71.57513534740957,744.4736395601929,325.9809118721361,146.10422682116558,1,31,4,2.0
-226.0,252.0,9.88888888888889,95.97466229411353,-71.0,359.0,116.25925925925925,119.41542570266037,-512.0,-51.0,-186.44444444444446,105.18601981932817,88.5945822271317,664.9067603807318,255.85427328055118,132.09619850281783,1,27,4,4.0
-245.0,227.0,5.541666666666667,101.57344599133947,-74.0,511.0,175.54166666666666,163.8217982968757,-512.0,13.0,-217.04166666666666,173.6849348597115,39.21734310225516,724.1229177425612,312.7856072021707,217.8050479836714,1,24,4,6.0
-237.0,187.0,-8.7,82.19292345857194,-64.0,511.0,111.03333333333333,107.18130537655446,-508.0,9.0,-209.46666666666667,113.67108495811745,22.22611077089287,720.5789339135581,261.1572390588841,138.71516314787243,0,30,4,8.0
-381.0,313.0,-26.41176470588235,133.62549018169244,-54.0,375.0,109.17647058823529,111.95284474441362,-512.0,-23.0,-220.41176470588235,127.08452899015883,30.822070014844883,689.5114212252034,289.3479845411707,154.9705181285178,1,17,4,10.0
-263.0,122.0,-26.23076923076923,114.87461649464994,-145.0,406.0,50.84615384615385,134.8416998693974,-448.0,-4.0,-161.46153846153845,112.4541721253701,100.12991560967181,659.3246544760783,231.08436979193567,141.30686261636163,0,13,4,12.0
-428.0,136.0,-22.142857142857142,126.55594874704747,-23.0,511.0,131.35714285714286,137.64634141931433,-512.0,20.0,-187.07142857142858,123.65069711877561,35.58089374931439,840.5052052188612,257.24405116567607,191.88184123833577,1,14,4,14.0
-380.0,249.0,9.545454545454545,152.18909507963122,-24.0,511.0,138.72727272727272,150.40738068754888,-512.0,-115.0,-295.0,124.57491356974361,123.81437719424994,817.1077040390697,368.1573439235727,179.2326754063613,1,11,4,16.0
-242.0,157.0,-3.875,112.08137389860994,-14.0,417.0,118.0625,102.70009052454628,-362.0,-48.0,-196.125,90.39557165591687,88.73556220591607,558.0448010688748,269.4493354651821,105.34107991363949,1,16,4,18.0
-245.0,172.0,-14.166666666666666,94.84270603946773,-89.0,336.0,87.41666666666667,113.36920388222231,-421.0,-64.0,-185.33333333333334,102.27115374771563,96.95875411740809,591.7448774598729,232.62207930806417,142.77564527978626,1,12,4,20.0
-255.0,211.0,-28.7,150.23451667310013,-46.0,481.0,173.1,138.28843046328927,-512.0,29.0,-212.1,171.7390171160881,58.32666628567074,715.1650159228988,328.126670981528,198.2296339868994,1,10,4,22.0
-334.0,112.0,-34.94736842105263,106.08262603134582,-131.0,406.0,98.36842105263158,120.82053264256551,-424.0,21.0,-193.21052631578948,127.43732368558297,47.44470465710583,555.1107997508245,259.82363922078883,151.03325767233517,0,19,4,24.0
-284.0,97.0,-5.722222222222222,80.65275744790515,-100.0,511.0,87.83333333333333,132.32630124053193,-512.0,70.0,-213.83333333333334,164.1324837508475,31.20897306865447,725.7726916879692,266.83247238904124,182.28316954939575,0,18,4,26.0
-221.0,118.0,-31.083333333333332,78.2649967879781,24.0,398.0,156.41666666666666,102.80844512436168,-367.0,-129.0,-234.16666666666666,65.93410009665375,164.15236824365343,584.7512291564678,298.95953036376596,109.23308048088357,1,12,4,28.0
-148.0,153.0,-17.875,64.52119322362226,-33.0,332.0,123.0,114.81452434252384,-436.0,23.0,-191.0,120.04426267006683,60.81940479813988,529.0519823230984,249.94514825574296,145.64656832007637,0,16,4,30.0
