time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771683721642801200,0.46180126953125,0,0.08062257617712021,3.59967303276062,3.7899999618530273,0,0,282.6000061035156,76.713011,30.71036
1771683722642365000,1.461364990234375,0,0.08062257617712021,3.609668493270874,3.7899999618530273,0,0,282.6000061035156,76.713011,30.71036
1771683723642183200,2.46118310546875,10.022991180419922,0.8237718343734741,3.619666814804077,3.7899999618530273,0.5199999809265137,324,282.6000061035156,76.7130086,30.7103637
1771683724642985500,3.4619853515625,1.4983458518981934,0.05830951780080795,5.214608192443848,3.7899999618530273,1.5299999713897705,329,282.6000061035156,76.7130017,30.7103733
1771683725642877700,4.461877685546875,1.438069224357605,0.07211102545261383,5.224606990814209,3.7899999618530273,1.9900000095367432,326,282.6000061035156,76.7129911,30.7103864
1771683726642175200,5.46117529296875,3.7086095809936523,0.0860232561826706,5.234600067138672,3.7899999618530273,0.9599999785423279,322,282.6000061035156,76.7129832,30.7103954
1771683727642173000,6.4611728515625,3.3275630474090576,0.10000000149011612,5.24459981918335,3.7899999618530273,1.1799999475479126,321,282.6000061035156,76.7129763,30.7104033
1771683728642272300,7.461272216796875,1.466934084892273,0.09433981031179428,5.254601001739502,3.7899999618530273,2.259999990463257,322,282.6000061035156,76.7129642,30.7104167
1771683729642260700,8.4612607421875,0.8138338327407837,0.07211102545261383,5.26460075378418,3.7899999618530273,3.309999942779541,322,282.6000061035156,76.7129464,30.7104374
1771683730642766800,9.461766845703124,0.6459042429924011,0.07211102545261383,5.274605751037598,3.7899999618530273,4.449999809265137,323,282.6000061035156,76.7129226,30.7104657
1771683731642381300,10.46138134765625,0.4798339307308197,0.07211102545261383,5.284602165222168,3.7899999618530273,5.5,323,282.6000061035156,76.7128916,30.7105012
1771683732642202000,11.4612021484375,0.31798791885375977,0.05830951780080795,5.294600009918213,3.7899999618530273,6.96999979019165,324,282.6000061035156,76.7128511,30.7105478
1771683733642866200,12.4618662109375,0.21928925812244415,0.04472136124968529,5.304606914520264,3.7899999618530273,8.270000457763672,325,282.6000061035156,76.7128065,30.7106041
1771683734642419000,13.4614189453125,0.22844786942005157,0.05000000074505806,5.314602375030518,3.7899999618530273,9.75,326,282.6000061035156,76.7127545,30.7106732
1771683735642573000,14.461572998046876,0.2742849886417389,0.06403124332427979,5.324604034423828,3.7899999618530273,10.010000228881836,325,282.6000061035156,76.7126981,30.7107455
1771683736642202000,15.4612021484375,0.29534488916397095,0.06403124332427979,5.334600448608398,3.7899999618530273,9.279999732971191,325,282.6000061035156,76.7126425,30.7108131
1771683737642424800,16.4614248046875,0.2801867425441742,0.06708204001188278,5.344602584838867,3.7899999618530273,9.0600004196167,325,282.6000061035156,76.7125857,30.7108822
1771683738642702600,17.46170263671875,0.2865622341632843,0.08062257617712021,5.354605197906494,3.7899999618530273,9.720000267028809,326,282.6000061035156,76.7125297,30.7109557
1771683739642865400,18.461865478515627,0.2702648341655731,0.07211102545261383,5.364606857299805,3.7899999618530273,10.609999656677246,326,282.6000061035156,76.7124677,30.7110359
1771683740643003100,19.462003173828126,0.7320029735565186,0.1140175461769104,5.374608039855957,3.7920000553131104,10.470000267028809,325,282.6000061035156,76.7124123,30.7111026
1771683741642773500,20.4617734375,0.8492748737335205,0.1345362365245819,5.384605884552002,3.7950000762939453,10.8100004196167,324,282.6000061035156,76.7123445,30.7111861
1771683742642067700,21.461067626953124,0.8269601464271545,0.12727922201156616,5.394598960876465,3.796999931335449,10.890000343322754,324,282.6000061035156,76.7122776,30.7112665
1771683743642803200,22.46180322265625,0.8353685140609741,0.1414213627576828,5.404606342315674,3.802000045776367,10.770000457763672,324,282.6000061035156,76.7122115,30.7113455
1771683744642588700,23.461588623046875,0.7920820713043213,0.12727922201156616,5.414604187011719,3.802000045776367,11.140000343322754,324,282.6000061035156,76.712144,30.7114273
1771683745642374000,24.461373779296874,0.6561762690544128,0.09899494796991348,5.424602031707764,3.803999900817871,11.029999732971191,324,282.6000061035156,76.7120814,30.7115039
1771683746642697200,25.461697265625,0.7856065630912781,0.12727922201156616,5.434605121612549,3.805000066757202,11.220000267028809,324,282.6000061035156,76.7120101,30.7115906
