latitude,longitude,event_type,severity,avg_severity,confidence,n_detections,total_duration,max_gyro_peak,max_accel_z,max_accel_x,max_dip,max_bump,is_dip,accel_z_std,avg_speed,est_size_m,route
30.6489251,76.7394701,Minor Anomaly,1.2725608,1.2725608,0.2,1,0.031070709228515625,0.07942178100347519,1.1931390762329102,0.5490514039993286,1.1931390762329102,0.5071802139282227,True,0.7570651173591614,4.200290203094482,0.1305059955757315,A
30.649546132727277,76.74060712727272,Minor Anomaly,10.0,4.114206,0.95,55,1.5224609375,0.6538233160972595,9.445700645446777,2.709338426589966,9.445700645446777,9.281492233276367,True,1.937165360965512,8.16697811646895,1.1953925093257567,A
30.6500037,76.7414665,Minor Anomaly,2.4537156,2.4537156,0.2,1,0.010356903076171875,0.14255362749099731,2.311161994934082,0.9372854232788086,2.311161994934082,1.2033004760742188,True,2.485100269317627,9.576557159423828,0.09918347430357244,A
30.6507182,76.7425958,Minor Anomaly,0.25687256,0.25687256,0.2,1,0.010356903076171875,0.09286476671695709,0.3210906982421875,0.25626441836357117,0.0,0.3210906982421875,False,0.08054701238870621,8.873394012451172,0.09190088174364064,A
30.65161492380952,76.74337435,Minor Anomaly,10.0,2.4927819,0.95,42,1.9471435546875,1.6613616943359375,14.794174194335938,2.5284652709960938,9.702308654785156,14.794174194335938,True,1.1744737599399828,5.765997466586885,1.956283784522384,A
30.652772339655172,76.74227215862068,Minor Anomaly,8.045599,1.383755,0.65,58,0.8699722290039062,0.3781508207321167,5.248723983764648,1.4925698041915894,4.09054708480835,5.248723983764648,True,0.8600815611827219,7.028353937740984,1.1254732969246106,A
30.653558630379738,76.7417522329114,Minor Anomaly,9.166554,2.615189,0.85,79,2.5892791748046875,0.5375139117240906,5.362133979797363,2.4087793827056885,4.437437534332275,5.362133979797363,True,1.3524372641798816,5.614248402511017,2.1539797460718546,A
30.65427229767442,76.7408751976744,Minor Anomaly,10.0,4.1537676,0.85,43,1.8124008178710938,0.8440935611724854,10.758878707885742,2.5670716762542725,10.758878707885742,8.898689270019531,True,2.258073868100033,8.15543847860292,2.7701927222369704,A
30.65963347511737,76.73652181267605,Minor Anomaly,5.439382,1.045175,0.7,213,10.015547037124634,0.3255690634250641,2.7954583168029785,2.7909348011016846,2.7954583168029785,2.2127647399902344,True,0.5626911717453893,4.831578765116947,3.63473789303589,B
30.661656581218267,76.73511920101522,Minor Anomaly,6.2533145,1.375664,0.65,197,8.576065063476562,0.1916281282901764,3.905080795288086,1.6421326398849487,3.3912129402160645,3.905080795288086,True,1.0039251207511135,3.915922860808784,3.8243851291481405,B
30.6624618,76.7345499,Minor Anomaly,1.7176824,1.3690122,0.2,3,0.031073570251464844,0.2651256024837494,1.5256710052490234,0.44752565026283264,1.5256710052490234,0.9013376235961914,True,1.2262502908706665,3.4598186016082764,0.03595302443386572,C
30.662975133333333,76.73418366666668,Minor Anomaly,2.1128855,1.2864594,0.5,3,0.12429237365722656,0.4689616560935974,1.408590316772461,0.8929141759872437,0.7508478164672852,1.408590316772461,True,0.6790362348159155,2.9710214932759604,0.42413875309648574,C
30.66350282608697,76.7337847,Minor Anomaly,10.0,4.289812,0.85,23,0.5800323486328125,0.6658889651298523,7.688359260559082,2.341320037841797,6.88823938369751,7.688359260559082,True,2.042466465545737,9.798691956893258,0.6094801215040206,C
30.6640095,76.7333924,Minor Anomaly,2.050885,2.050885,0.2,1,0.010356903076171875,0.21930217742919922,2.5636062622070312,0.6394468545913696,2.5416464805603027,2.5636062622070312,False,3.6099588871002197,12.985679626464844,0.13449142526951618,C
30.665541666666666,76.7321008,Pothole,5.8493485,4.351551,0.6,3,0.21750640869140625,0.7166098952293396,2.9163808822631836,2.103879928588867,2.1431427001953125,2.9163808822631836,True,1.6081756750742595,7.160523732503255,0.6037380787311122,C
30.666009211538462,76.73173459230769,Minor Anomaly,10.0,3.1511483,0.95,26,0.5074996948242188,0.7080546021461487,9.868542671203613,2.0048248767852783,7.895441055297852,9.868542671203613,True,2.2229308508909664,8.202889845921444,1.582793177003623,C
30.666724097560973,76.73118699024391,Pothole,10.0,4.574172,0.95,41,2.80694580078125,2.410837173461914,38.148895263671875,6.986394882202148,11.028358459472656,38.148895263671875,True,2.8453171625733376,10.11649085254204,5.305381910511642,C
30.6674653,76.7306294,Minor Anomaly,2.0944254,2.0944254,0.2,1,0.01035308837890625,0.2179209142923355,1.8765044212341309,0.4007583260536194,1.8765044212341309,0.2582569122314453,True,1.5095041990280151,13.023292541503906,0.13483129866654053,C
30.667826614285712,76.73037988571427,Road Bump,8.346655,3.617723,0.6,7,0.082855224609375,0.4291563630104065,5.564436912536621,1.1613496541976929,2.716752529144287,5.564436912536621,True,1.554404616355896,14.358056885855538,0.30473317761789076,C
30.66832951875,76.73000910625,Pothole,10.0,5.8946056,0.95,16,0.27965545654296875,0.756571888923645,7.567018508911133,1.932021141052246,7.567018508911133,7.343374252319336,True,2.2148291668854654,14.988490521907806,0.9220739422380575,C
30.6686926,76.7297294,Minor Anomaly,1.9625862,1.9625862,0.2,1,0.0103607177734375,0.22059021890163422,2.453232765197754,0.6532121896743774,0.8326377868652344,2.453232765197754,False,2.3234612941741943,15.418306350708008,0.15974472064408474,C
30.6691899,76.72935583,Pothole,7.8283353,4.204667,0.7,10,0.10359954833984375,0.3556092083454132,5.673575401306152,2.428699493408203,4.222535133361816,5.673575401306152,True,2.9863774701952934,17.02135601043701,0.18119970310362987,C
30.669837,76.7288694,Pothole,7.50716,6.399307,0.7,2,0.03106689453125,0.25345316529273987,3.759078025817871,1.0753982067108154,3.759078025817871,3.5276355743408203,True,1.7030306458473206,17.192172050476074,0.3559087492612889,C
30.670096599999997,76.7286668,Pothole,10.0,8.389363,0.85,7,0.29001617431640625,0.5469630360603333,13.246842384338379,3.1018619537353516,10.466472625732422,13.246842384338379,True,6.8355622972760886,16.485110146658762,1.5328513356798794,C
30.6704526,76.7283962,Minor Anomaly,8.640522,5.9650216,0.6,4,0.08286285400390625,0.29043468832969666,6.424783706665039,3.123021125793457,3.620637893676758,6.424783706665039,True,3.1647363901138306,15.900582551956177,0.6587939981545787,C
30.670871181818185,76.72807378181818,Pothole,10.0,4.9743977,0.7,11,0.1346588134765625,0.4829498529434204,7.994767665863037,2.290201425552368,7.994767665863037,3.747133255004883,True,2.4602624882351267,15.32297047701749,0.3215064109826926,C
30.67378110106383,76.7257992180851,Minor Anomaly,10.0,3.2735868,0.95,188,8.93873518705368,2.0488061904907227,32.174869537353516,4.544564247131348,25.846492767333984,32.174869537353516,True,1.7360822172993993,8.14969118351632,2.9034176924742496,D
30.67582886326531,76.72405128367348,Minor Anomaly,10.0,2.3541968,0.7,49,1.2947120666503906,0.3165203630924225,5.706455707550049,3.5058577060699463,5.706455707550049,4.280879020690918,True,1.4407835722121658,9.770843359888817,1.8775475375005044,D
30.676662513636362,76.72336825909092,Minor Anomaly,10.0,3.3822083,0.7,44,1.1186370849609375,0.495327889919281,6.480894088745117,2.7019596099853516,6.480894088745117,5.412561416625977,True,1.625535623593764,11.863472873514349,1.9878212896728655,D
30.677260424999997,76.72286304000001,Minor Anomaly,9.724391,4.158125,0.7,20,1.0150604248046875,0.3505314290523529,5.709571838378906,2.157374858856201,5.383318901062012,5.709571838378906,True,1.887111847102642,9.66059980392456,1.6452120571775595,D
