X_min,X_max,X_mean,X_std,Y_min,Y_max,Y_mean,Y_std,Z_min,Z_max,Z_mean,Z_std,mag_min,mag_max,mag_mean,mag_std,latitude,longitude,speed,n_samples,route,window_start
-0.3780659735202789,1.1940184831619265,0.4201870572011553,0.28708631540465035,-0.5790630578994751,2.342573404312134,0.828829361058618,0.5327113128753338,8.49452018737793,11.12183952331543,9.84539208461329,0.35718281739958485,8.536348893682362,11.194090946891412,9.907035234743828,0.3737551210431823,30.71036,76.713011,0.0,194,F,0.129484375
-0.9284151792526244,1.56251323223114,0.360770704094417,0.385615785072733,-0.9092726111412048,3.589233875274658,1.0575408220648226,0.8525925008680958,7.231110095977783,13.153346061706545,9.814230276512976,0.7612959536505829,7.305637537664544,13.285789549127443,9.921426704263386,0.7669036438159523,30.71037011054935,76.71300399241765,1.194443187351848,193,F,2.129484375
-0.9643075466156006,1.3567304611206057,0.36492404870814377,0.3419436863322469,-1.7156537771224976,3.6945180892944336,0.2777285993176421,0.9633554336092006,7.106683254241943,12.37567901611328,9.884192419793322,0.553300200285462,7.202081341539057,12.631714637822016,9.945931162446541,0.5806342457191171,30.71039241268347,76.71298582220007,1.3018817695633147,193,F,4.1294843750000005
-1.6366907358169556,1.9286150932312007,0.4114291156482897,0.5729166980780721,-1.399801254272461,4.0079779624938965,1.301782305926625,1.180232715885804,4.807180881500244,13.785051345825195,9.818978709878081,1.4879916629266647,4.892541982585502,14.36683105025687,9.992398120211575,1.5373795227532745,30.71041225448465,76.71296821423401,1.9017047091784436,193,F,6.1294843750000005
-0.8925228714942932,1.97407865524292,0.3120835833878792,0.5663516145397173,-0.6197410821914673,4.225724697113037,1.5780727346584567,1.220687935659652,3.778266906738281,16.386049270629883,9.823999943510856,1.8260742121123161,4.041171388470862,16.469768694083292,10.039228070786589,1.8595603156184228,30.710456301162864,76.7129305043224,4.071389453060399,193,F,8.129484375
-2.4191436767578125,2.65842604637146,0.39874591603103077,0.8027968781781292,-0.2153540402650833,4.386044025421143,1.9180643200449685,0.9758746831219962,3.589233875274658,16.206586837768555,9.748842978106879,2.6798631792965586,3.614749574825075,16.61062748976173,10.01740438527686,2.703331041423007,30.710532339181192,76.71286453697772,6.482287335144765,193,F,10.129484375
-2.057827472686768,2.486142635345459,0.29946237351803273,0.8192378511500252,-1.940579175949097,3.9864425659179688,1.3478286422214862,1.1851591646859698,-0.366101861000061,16.11087417602539,9.82046646466527,2.235314166007323,0.7364842244379964,16.46700510175731,10.020654346486245,2.2375768449276205,30.710650253057814,76.71277176832119,9.258517164507495,193,F,12.129484375
-1.576870083808899,2.091326951980591,0.30122289548077924,0.7623845239196395,-2.251646041870117,3.170490026473999,0.19395501225935827,1.2105743101860766,3.974478483200073,14.687145233154297,9.869624741954507,1.4779351330772048,4.101939507174901,14.70069850428595,9.981506245701835,1.4623241685538761,30.710790667559454,76.71266095035051,9.522243708166515,193,F,14.129484375
-1.495514154434204,2.8283164501190186,0.45480987814935453,0.7942426897612035,-2.0195422172546387,3.584448337554932,1.1096869996203582,1.15065804829886,3.404986619949341,14.41197109222412,9.862061946503239,2.0886463736698864,3.517704832711733,14.662460501452063,10.030015629728865,2.101092248105498,30.710931288739992,76.71254829905524,9.500797166629557,193,F,16.129484375
-1.612762451171875,2.4741785526275635,0.3386773894241784,0.7029507979181063,-1.770688772201538,2.7254250049591064,0.6094506891067936,0.8209535296287513,6.364908218383789,13.57209014892578,9.899888377115516,1.2689298667739983,6.569567209215561,13.574096394149164,9.98303106691208,1.269370175271888,30.71108042404964,76.71243071900524,10.516546286742647,193,F,18.129484375
-1.6510475873947144,2.5196423530578613,0.29574794557963296,0.699956878444304,-2.4502503871917725,2.589034080505371,0.5046142261840173,0.8389202707712846,6.453442573547363,13.15813159942627,9.8259411767586,1.236319848375773,6.471396152937812,13.356016982682617,9.903444265554548,1.2390430471283593,30.71123982187684,76.71229979858755,10.863454972461573,194,F,20.129484375
-1.6510475873947144,2.199003934860229,0.5921926103626411,0.6874951707423682,-1.4117653369903564,2.8522446155548096,0.5773025604502968,0.8470298969309826,6.836294174194336,13.581661224365234,9.887874657625979,1.2311115011013092,6.865710678419394,13.65101344833801,9.983476750632915,1.2206442285930785,30.71140012804142,76.71216642184845,11.017095434206238,193,F,22.129484375
-2.0243279933929443,2.170290231704712,0.30867412206692707,0.802993556505882,-1.7324036359786987,3.4815568923950195,0.7974918299581412,1.2869053721208612,4.371686935424805,16.31665802001953,9.83812132771151,2.3428179386204735,4.420404828572266,16.56025052814515,9.98359840522397,2.374318229844232,30.7115618064567,76.71203377911924,11.156900052445954,193,F,24.129484375
-1.404586911201477,2.368894338607788,0.45818214369045057,0.7236611593575065,-1.545763373374939,3.6394832134246826,0.8144523550133785,1.1953843094731962,4.252045631408691,14.971891403198242,9.810944749901331,2.636282048589541,4.460786648652484,15.350065726540038,9.949128174311356,2.654309916482427,30.711731954327647,76.71189175994766,12.197153453443672,193,F,26.129484375
-1.22033953666687,2.287538528442383,0.5960484027761214,0.7585418307491266,-1.8400806188583372,2.9623143672943115,0.6040327387869145,1.0289288936185064,5.493920803070068,13.808979034423828,9.817280164036726,1.924107395014948,5.823715965927461,14.021639306233903,9.937660357201322,1.9178882492854223,30.711916708833687,76.71173551398132,12.60696145369924,193,F,28.129484375
-1.308874011039734,2.2061824798583984,0.6239068078774708,0.5658910972108245,-2.163111686706543,2.364108800888061,0.19188453992973492,0.8156989069301205,6.400800704956055,13.02652645111084,9.86495067665614,1.121835714071884,6.5134259817168045,13.040931901934325,9.937508454679698,1.1105718156177486,30.712099318807855,76.71158099958346,12.57627448443046,193,F,30.129484375
-1.28255295753479,2.390429735183716,0.4679765993140522,0.6539559636586266,-2.280359983444214,3.4983067512512207,0.4088751155776913,1.1242783980026838,4.426722049713135,13.15095329284668,9.849998622360625,1.4926279593468756,4.789230916572587,13.2021825201887,9.957346477730974,1.4763141549863819,30.712283161979006,76.71142878775102,12.346708650042771,193,F,32.129484375000004
-1.1509476900100708,1.9070796966552732,0.5004842722875312,0.631666810633544,-1.97407865524292,2.679961442947388,0.16189366922149231,0.9005223647570232,5.319244861602783,14.289937019348145,9.86358689767709,1.2578735906454195,5.437035003704495,14.300667837878333,9.940007322737376,1.2471906181584316,30.712460099408542,76.71128115554862,12.219715840008305,193,F,34.129484375000004
-0.8590233325958252,1.710868239402771,0.6016399180359772,0.4994509100858421,-2.038684844970703,2.256431818008423,0.3070747726621019,0.8078692008772261,7.106683254241943,13.509876251220703,9.893181029996724,1.1269092029616914,7.179125529508039,13.626927290313128,9.962442441021244,1.1194039564147023,30.712637626147945,76.71113312821005,11.646416901092275,193,F,36.129484375000004
-1.244267821311951,2.289931297302246,0.5197508318936018,0.6309853101668997,-2.311466693878174,3.0412776470184326,0.3709494990822642,1.1654937931428433,3.82373046875,14.699109077453612,9.879815919411614,1.612740658135189,3.9565948964570627,14.8437301586305,9.990149886338612,1.6040146451870425,30.71280591449334,76.71099227588446,11.569755043611359,193,F,38.129484375000004
