time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771680910662407700,0.50040771484375,0,0.0860232561826706,5.977903842926025,3.7899999618530273,0,0,271,76.739268,30.6488268
1771680911662207500,1.50020751953125,0,0.0860232561826706,5.98790168762207,3.7899999618530273,0,0,271,76.739268,30.6488268
1771680912662682000,2.50068212890625,0,0.0860232561826706,5.997906684875488,3.7899999618530273,0,0,271,76.739268,30.6488268
1771680913662550800,3.50055078125,0,0.8490583300590515,6.00790548324585,3.7899999618530273,0,0,271,76.7392685,30.6488272
1771680914662056400,4.500056396484375,13.676037788391113,0.8237718343734741,6.017900466918945,3.7899999618530273,0.44999998807907104,58,271,76.7392724,30.6488297
1771680915662633200,5.50063330078125,1.7201400995254517,0.05830951780080795,6.0279059410095215,3.7899999618530273,1.4700000286102295,60,271,76.7392839,30.6488356
1771680916662231300,6.500231201171875,1.0970319509506226,0.06403124332427979,6.037901878356934,3.7899999618530273,2.430000066757202,62,271,76.7393042,30.648845
1771680917662785500,7.50078564453125,3.453662395477295,0.20615528523921967,6.047907829284668,3.7899999618530273,2.5,61,271,76.7393277,30.6488547
1771680918662594800,8.5005947265625,2.5887460708618164,0.2140093445777893,4.500042915344238,3.7899999618530273,3.4200000762939453,61,271,76.7393564,30.6488682
1771680919662523000,9.50052294921875,0.7267208099365234,0.07810249924659729,4.510042190551758,3.7899999618530273,4.440000057220459,61,271,76.7393928,30.6488855
1771680920662414600,10.50041455078125,0.6149199604988098,0.07211102545261383,4.520040988922119,3.7899999618530273,4.619999885559082,59,271,76.7394329,30.6489055
1771680921662350300,11.500350341796874,0.6005856990814209,0.05830951780080795,4.530040264129639,3.7899999618530273,4.110000133514404,57,271,76.7394701,30.6489251
1771680922662760000,12.500760009765624,0.5222195386886597,0.05830951780080795,4.54004430770874,3.7899999618530273,4.449999809265137,56,271,76.7395084,30.6489462
1771680923662650600,13.500650634765625,0.38679268956184387,0.05000000074505806,4.550043106079102,3.7899999618530273,5.360000133514404,55,271,76.7395534,30.6489718
1771680924662139400,14.500139404296876,0.3119044005870819,0.04472136124968529,4.560038089752197,3.7899999618530273,5.880000114440918,55,271,76.7396005,30.648999
1771680925662566700,15.500566650390626,0.3351608216762543,0.05000000074505806,4.570042610168457,3.7899999618530273,6.349999904632568,55,271,76.7396516,30.6490306
1771680926662869500,16.500869384765625,0.3775816857814789,0.05830951780080795,4.580045700073242,3.7899999618530273,6.670000076293945,56,271,76.739709,30.6490641
1771680927662779100,17.500779052734377,0.3818226158618927,0.05830951780080795,4.5900444984436035,3.7899999618530273,6.360000133514404,56,271,76.7397633,30.6490957
1771680928662191400,18.50019140625,0.3460536599159241,0.05830951780080795,4.600038528442383,3.7899999618530273,6.099999904632568,55,271,76.7398161,30.6491277
1771680929662111000,19.500111083984375,0.3360142111778259,0.05830951780080795,4.610037803649902,3.7899999618530273,6.260000228881836,55,271,76.7398693,30.6491586
1771680930662537700,20.500537841796874,0.3260149359703064,0.06708204001188278,4.620042324066162,3.7899999618530273,6.949999809265137,55,271,76.7399264,30.6491937
1771680931662449000,21.500448974609377,0.30563274025917053,0.06708204001188278,4.630041122436523,3.7899999618530273,7.510000228881836,56,271,76.7399882,30.6492305
1771680932662868200,22.5008681640625,0.3017975091934204,0.06708204001188278,4.640045642852783,3.7899999618530273,7.929999828338623,57,271,76.7400562,30.6492686
1771680933662765300,23.500765380859374,0.30117857456207275,0.06708204001188278,4.6500444412231445,3.7899999618530273,8.34000015258789,58,271,76.740128,30.649305
1771680934662136000,24.500135986328125,0.26331111788749695,0.06708204001188278,4.660037994384766,3.7899999618530273,8.649999618530273,59,271,76.7402056,30.6493426
1771680935662285000,25.50028515625,0.23386962711811066,0.05000000074505806,4.670039653778076,3.7899999618530273,8.640000343322754,59,271,76.740282,30.6493824
1771680936662847700,26.50084765625,0.2509419918060303,0.05830951780080795,4.680045127868652,3.7899999618530273,8.210000038146973,58,271,76.7403528,30.6494201
1771680937662731000,27.50073095703125,0.2897515296936035,0.05830951780080795,4.690043926239014,3.7899999618530273,7.769999980926514,58,271,76.7404244,30.6494568
1771680938662147300,28.500147216796876,0.28881797194480896,0.05830951780080795,4.700038433074951,3.7899999618530273,7.940000057220459,59,271,76.7404933,30.6494926
1771680939662267400,29.500267333984375,0.2837032973766327,0.05830951780080795,4.7100396156311035,3.7899999618530273,8.0600004196167,59,271,76.7405649,30.6495289
1771680940662186500,30.5001865234375,0.2791864275932312,0.05830951780080795,4.720038890838623,3.7899999618530273,7.630000114440918,60,271,76.7406338,30.6495624
1771680941662440000,31.50043994140625,0.2473098635673523,0.04472136124968529,4.730041027069092,3.7899999618530273,7.389999866485596,60,271,76.740699,30.6495919
1771680942662979600,32.5009794921875,0.24307872354984283,0.04472136124968529,4.740046501159668,3.7899999618530273,7.710000038146973,61,271,76.7407687,30.6496252
1771680943662058500,33.50005859375,0.2511471211910248,0.05830951780080795,4.75003719329834,3.7899999618530273,7.940000057220459,62,271,76.7408415,30.6496583
1771680944662869000,34.50086889648438,0.2393147498369217,0.05830951780080795,4.760045528411865,3.7899999618530273,8.140000343322754,61,271,76.7409131,30.649697
