time,seconds_elapsed,z,y,x
1773047900596767000,0.28076708984375,0.498543381690979,0.52837073802948,0.10612688958644867
1773047900616714000,0.3007138671875,0.49641284346580505,0.6743118762969971,0.015579480677843094
1773047900626688800,0.310688720703125,0.5262402296066284,0.7115961313247681,-0.01850895583629608
1773047900636665900,0.320665771484375,0.5763076543807983,0.7147918939590454,-0.030226856470108032
1773047900646642000,0.330641845703125,0.632766604423523,0.7094655632972717,-0.005725792143493891
1773047900656618800,0.34061865234375,0.6668550372123718,0.6615287065505981,0.03368896245956421
1773047900666595000,0.350594970703125,0.657267689704895,0.5347623229026794,0.07097318768501282
1773047900676571600,0.360571533203125,0.6359623670578003,0.38469332456588745,0.08482161909341812
1773047900686451700,0.37045166015625,0.628505527973175,0.2557964324951172,0.08269108831882477
1773047900696331800,0.380331787109375,0.6157223582267761,0.13542163372039795,0.07097318768501282
1773047900706499000,0.3904990234375,0.6061350107192993,0.05020054802298546,0.05392897129058838
1773047900716552000,0.400552001953125,0.5645897388458252,-0.05952160432934761,0.024101590737700462
1773047900736446000,0.420446044921875,0.4836297035217285,-0.2191779911518097,-0.0739026665687561
1773047900746325800,0.43032568359375,0.5028044581413269,-0.19361166656017303,-0.12503531575202942
1773047900756205800,0.440205810546875,0.5134570598602295,-0.15632744133472443,-0.1772332340478897
1773047900766127900,0.4501279296875,0.48789075016975403,-0.09574057161808014,-0.2006690353155136
1773047900776086500,0.46008642578125,0.4431496858596802,-0.012650005519390106,-0.1921469271183014
1773047900786266600,0.4702666015625,0.39840859174728394,0.08748477697372437,-0.16445007920265198
1773047900796379000,0.48037890625,0.35153698921203613,0.17909744381904602,-0.1165132075548172
1773047900806266600,0.4902666015625,0.29933908581733704,0.24407853186130524,-0.05153212696313858
1773047900816261400,0.500261474609375,0.2727074921131134,0.29201540350914,0.02516685426235199
1773047900826220000,0.510219970703125,0.28549066185951233,0.32397329807281494,0.10719215124845505
1773047900836200400,0.520200439453125,0.2908169627189636,0.32397329807281494,0.1700427085161209
