time,seconds_elapsed,z,y,x
1773047900526373600,0.21037353515625,-32.38125228881836,2.0812501907348633,21.075000762939453
1773047900536373800,0.220373779296875,-32.88750076293945,1.5750000476837158,20.381250381469727
1773047900556373800,0.240373779296875,-32.962501525878906,1.725000023841858,20.943750381469727
1773047900596373800,0.280373779296875,-33.07500076293945,0.8250000476837158,21.037500381469727
1773047900616373800,0.300373779296875,-32.83125305175781,0.11250000447034836,21.506250381469727
1773047900626373600,0.31037353515625,-32.79375076293945,-0.15000000596046448,21.48750114440918
1773047900636373800,0.320373779296875,-32.71875,-0.5062500238418579,21.543750762939453
1773047900646373600,0.33037353515625,-32.28750228881836,-0.9000000357627869,21.637500762939453
1773047900656373800,0.340373779296875,-32.212501525878906,-1.068750023841858,21.825000762939453
1773047900666373600,0.35037353515625,-31.80000114440918,-1.3312500715255737,22.087501525878906
1773047900676373800,0.360373779296875,-31.743751525878906,-1.3312500715255737,22.200000762939453
1773047900686373600,0.37037353515625,-31.875001907348633,-1.2750000953674316,22.23750114440918
1773047900696373800,0.380373779296875,-31.725000381469727,-1.256250023841858,22.23750114440918
1773047900706373600,0.39037353515625,-31.856250762939453,-1.5562500953674316,22.23750114440918
1773047900716373800,0.400373779296875,-31.725000381469727,-1.6875001192092896,22.443750381469727
1773047900726373600,0.41037353515625,-31.837501525878906,-1.631250023841858,22.368751525878906
1773047900736373800,0.420373779296875,-32.19375228881836,-1.725000023841858,22.350000381469727
1773047900746373600,0.43037353515625,-32.53125,-1.6687500476837158,22.21875
1773047900756373800,0.440373779296875,-32.51250076293945,-1.7812501192092896,22.05000114440918
1773047900766373600,0.45037353515625,-32.45625305175781,-1.8750001192092896,22.03125
1773047900776373800,0.460373779296875,-32.60625076293945,-1.631250023841858,21.881250381469727
1773047900786373600,0.47037353515625,-32.38125228881836,-1.5937501192092896,21.881250381469727
1773047900796373800,0.480373779296875,-32.19375228881836,-1.537500023841858,21.75
1773047900806373600,0.49037353515625,-32.00625228881836,-1.631250023841858,21.84375
1773047900816373800,0.500373779296875,-31.500001907348633,-1.537500023841858,21.67500114440918
1773047900826373600,0.51037353515625,-31.012500762939453,-1.4625000953674316,22.162500381469727
1773047900836373800,0.520373779296875,-30.58125114440918,-1.5562500953674316,22.33125114440918
1773047900846373600,0.53037353515625,-30.318750381469727,-1.9312500953674316,22.40625
1773047900856373800,0.540373779296875,-30.168750762939453,-2.25,22.743751525878906
1773047900866373600,0.55037353515625,-29.775001525878906,-2.512500047683716,22.912500381469727
1773047900876373800,0.560373779296875,-29.437501907348633,-2.700000047683716,23.17500114440918
1773047900886373600,0.57037353515625,-29.212501525878906,-3,23.025001525878906
1773047900896373800,0.580373779296875,-29.17500114440918,-3.187500238418579,23.17500114440918
1773047900906373600,0.59037353515625,-28.98750114440918,-3.5062501430511475,22.931251525878906
1773047900916373800,0.600373779296875,-28.725000381469727,-3.825000047683716,22.89375114440918
1773047900926373600,0.61037353515625,-28.33125114440918,-3.843750238418579,22.912500381469727
1773047900936373800,0.620373779296875,-27.750001907348633,-4.200000286102295,22.98750114440918
1773047900946373600,0.63037353515625,-27.637500762939453,-4.125,23.100000381469727
1773047900956373800,0.640373779296875,-27.693750381469727,-4.03125,23.193750381469727
1773047900966373600,0.65037353515625,-27.562501907348633,-4.162500381469727,23.475000381469727
1773047900976373800,0.660373779296875,-27.356250762939453,-4.3125,23.64375114440918
1773047900986373600,0.67037353515625,-27.39375114440918,-4.256250381469727,23.587501525878906
1773047900996373800,0.680373779296875,-27.58125114440918,-3.6187500953674316,23.775001525878906
1773047901006373600,0.69037353515625,-27.86250114440918,-3.1500000953674316,23.73750114440918
1773047901016373800,0.700373779296875,-28.200000762939453,-2.9437501430511475,23.34375
1773047901026373600,0.71037353515625,-28.312501907348633,-2.887500047683716,23.08125114440918
1773047901036373800,0.720373779296875,-28.42500114440918,-2.6625001430511475,22.725000381469727
1773047901046373600,0.73037353515625,-28.556251525878906,-2.15625,22.481250762939453
1773047901056373800,0.740373779296875,-28.51875114440918,-1.9500000476837158,22.293750762939453
1773047901066373600,0.75037353515625,-28.556251525878906,-1.7062500715255737,22.200000762939453
1773047901076373800,0.760373779296875,-28.818750381469727,-1.725000023841858,21.975000381469727
1773047901086373600,0.77037353515625,-28.650001525878906,-1.537500023841858,21.75
1773047901096373800,0.780373779296875,-28.500001907348633,-1.6687500476837158,21.58125114440918
1773047901106373600,0.79037353515625,-28.181251525878906,-1.8375000953674316,21.67500114440918
1773047901116373800,0.800373779296875,-27.825000762939453,-2.1187500953674316,21.712501525878906
1773047901126373600,0.81037353515625,-27.787500381469727,-2.5500001907348633,22.012500762939453
1773047901136373800,0.820373779296875,-27.562501907348633,-2.6437501907348633,22.3125
1773047901146373600,0.83037353515625,-27.431251525878906,-3.075000047683716,22.59375
1773047901156373800,0.840373779296875,-26.943750381469727,-3.4312500953674316,22.650001525878906
1773047901166373600,0.85037353515625,-26.812501907348633,-4.125,22.931251525878906
1773047901176373800,0.860373779296875,-26.568750381469727,-4.256250381469727,23.512500762939453
1773047901186373600,0.87037353515625,-26.625001907348633,-4.40625,23.71875
1773047901196373800,0.880373779296875,-26.64375114440918,-4.425000190734863,24.037500381469727
1773047901206373600,0.89037353515625,-26.325000762939453,-4.518750190734863,24.20625114440918
1773047901216373800,0.900373779296875,-26.137500762939453,-4.875,24.356250762939453
1773047901226373600,0.91037353515625,-25.912500381469727,-4.96875,24.431251525878906
1773047901236373800,0.920373779296875,-25.725000381469727,-5.118750095367432,24.731250762939453
1773047901246373600,0.93037353515625,-25.575000762939453,-5.287500381469727,25.162500381469727
1773047901256373800,0.940373779296875,-25.312501907348633,-5.568750381469727,25.312501907348633
1773047901266373600,0.95037353515625,-25.350000381469727,-5.793750286102295,25.51875114440918
1773047901276373800,0.960373779296875,-25.068750381469727,-6.187500476837158,25.556251525878906
1773047901286373600,0.97037353515625,-24.95625114440918,-6.487500190734863,25.42500114440918
1773047901296373800,0.980373779296875,-24.937501907348633,-6.412500381469727,25.668750762939453
1773047901306373600,0.99037353515625,-24.750001907348633,-6.506250381469727,25.687501907348633
1773047901316373800,1.000373779296875,-24.731250762939453,-6.525000095367432,25.968751907348633
1773047901326373600,1.01037353515625,-24.58125114440918,-6.412500381469727,25.98750114440918
1773047901336373800,1.020373779296875,-24.48750114440918,-6.543750286102295,25.98750114440918
1773047901346373600,1.03037353515625,-24.20625114440918,-6.206250190734863,25.856250762939453
1773047901356373800,1.040373779296875,-24.150001525878906,-6.112500190734863,26.118751525878906
1773047901366373600,1.05037353515625,-24.356250762939453,-5.756250381469727,26.306251525878906
1773047901376373800,1.060373779296875,-24.58125114440918,-5.550000190734863,26.231250762939453
1773047901386373600,1.07037353515625,-24.918750762939453,-5.193750381469727,26.325000762939453
1773047901396373800,1.080373779296875,-25.05000114440918,-5.100000381469727,26.156251907348633
1773047901406373600,1.09037353515625,-25.218751907348633,-5.15625,26.250001907348633
1773047901416373800,1.100373779296875,-25.293750762939453,-4.800000190734863,26.381250381469727
1773047901426373600,1.11037353515625,-25.42500114440918,-4.96875,26.45625114440918
1773047901436373800,1.120373779296875,-25.462501525878906,-4.987500190734863,26.212501525878906
1773047901446373600,1.13037353515625,-25.368751525878906,-5.043750286102295,26.137500762939453
1773047901456373800,1.140373779296875,-25.162500381469727,-5.287500381469727,26.006250381469727
1773047901466373600,1.15037353515625,-24.843751907348633,-5.681250095367432,25.912500381469727
1773047901476373800,1.160373779296875,-24.58125114440918,-5.981250286102295,26.025001525878906
1773047901486373600,1.17037353515625,-24.131250381469727,-6.131250381469727,26.118751525878906
