route,latitude,longitude,speed,event_type,severity,confidence,gyro_peak,z_kurtosis,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
Route_1,30.638598673498496,76.73516596231651,4.707361738715266,Speed Bump,5.299205,0.65,0.19389051722134168,-0.5005427757068106,3.9607449150085454,3.6095480346679683,4.669928073883057,3.9607449150085454,0
Route_1,30.638528184232072,76.73524022322019,6.168193077596954,Speed Bump,9.107681,0.55,0.30664333743054323,0.9938206846484618,9.026948807239533,6.1525196456909175,5.651889324188232,9.026948807239533,0
Route_1,30.638439163596495,76.73531790139776,6.084814383081723,Speed Bump,6.241379,0.65,0.2852576096281102,-0.023580214234714347,4.8754015541076665,4.04085391998291,3.5041074752807617,4.8754015541076665,0
Route_1,30.638353061605144,76.73539673751846,5.759987660334118,Speed Bump,6.2715287,0.65,0.24750940352058803,-0.633982134464298,4.636119422912598,4.323207321166992,5.187968254089356,4.636119422912598,0
Route_1,30.638070127438688,76.73529603585808,2.7123643052060977,Speed Bump,3.0266817,0.65,0.13963457474283023,0.5422970189383065,2.6440945243835454,1.6797365570068354,1.8597145080566408,2.6440945243835454,1
Route_1,30.63796152405948,76.73509433870704,3.124372128866248,Speed Bump,6.944869,0.65,0.23832108286266696,-0.3497463228028095,5.042899188995362,4.878342094421388,4.398796081542969,5.042899188995362,2
Route_1,30.637925858203264,76.73503406071198,3.474064319238246,Speed Bump,8.7081995,0.65,0.2745121861286363,0.46387452259688144,5.660845336914063,6.779439392089843,4.668374538421631,6.779439392089843,2
Route_1,30.637884055978482,76.7349652817197,3.9875949345452835,Speed Bump,5.832266,0.65,0.21982797003056367,-0.6383974891543645,4.113885459899903,4.21792263031006,4.309228897094727,4.21792263031006,2
Route_1,30.637835509377886,76.73489272344129,4.363591994527554,Speed Bump,6.1974106,0.65,0.23159112870826162,0.34144207427589146,4.003815708160401,4.849627914428712,3.3104324340820312,4.849627914428712,2
Route_1,30.637779338810347,76.73482156513914,4.804668263722857,Speed Bump,6.6366735,0.65,0.22299286266898863,0.4011242420552885,5.828343210220337,3.6526188278198237,4.243150234222412,5.828343210220337,2
Route_1,30.637714409469236,76.73473505690565,5.751102218706256,Pothole,10.0,0.9596001,0.3641000672850984,5.242785109515081,8.41857367515564,7.330386581420898,4.791135311126709,8.41857367515564,75
Route_1,30.637645618337626,76.73463039698646,6.094029977668714,Pothole,10.0,0.9867435,0.7607087710991639,1.9362162588029692,8.442501840591431,8.95331901550293,10.102537155151367,8.95331901550293,75
Route_1,30.63758187621019,76.73452974891259,5.980616403491045,Pothole,9.238345,0.92519706,0.5507123616720856,-0.37935306336561636,8.212790904045105,8.513040008544918,9.160238265991213,8.513040008544918,75
Route_1,30.63751502753082,76.7344247912165,6.480502060425929,Speed Bump,10.0,0.55,0.498384640520329,-0.423665520431014,8.534027276039124,9.968472900390625,6.451752185821533,9.968472900390625,3
Route_1,30.63743857699674,76.73430347494187,7.309431854578751,Pothole,10.0,1.0,0.7334396840125454,0.33546929178356066,10.913689432144166,7.794595184326171,7.863932132720947,10.913689432144166,76
Route_1,30.637354136998677,76.73416508478812,8.0647276576054,Speed Bump,7.2804027,0.55,0.3117264681170233,0.06473600402288415,6.465432224273682,5.6685718917846675,5.239598274230957,6.465432224273682,4
