latitude,longitude,event_type,severity,avg_severity,confidence,n_detections,total_duration,max_gyro_peak,max_dip_dev,max_bump_dev,abs_max_dev,max_accel_x,avg_speed,est_size_m,route
30.6539699,76.7412439,Acceleration,3.8506074,3.8506074,0.75,1,0.02071380615234375,0.2477150857448578,-0.2023888296798022,0.8564469147510945,0.8564469147510945,2.5670716762542725,10.29105228389543,0.21316686211224437,A
30.6492686,76.7400562,Hard Braking,3.5749645,1.0829248,0.7,5,0.06214141845703125,0.24867349863052368,-0.7156670917089691,0.9028293399170337,0.9028293399170337,2.3833096027374268,7.947908842892458,0.166240412452865,A
30.64939077777778,76.74029773333332,Hard Braking,4.0640078,1.1938548,0.8,9,0.12428474426269531,0.28635022044181824,-1.3584429856981677,0.9884291677874071,1.3584429856981677,2.709338426589966,8.464868526876218,0.17851530797975151,A
30.6499053,76.7413048,Hard Braking,0.48240393,0.48240393,0.65,1,0.010356903076171875,0.05135461315512657,0.0,0.4109722057906815,0.4109722057906815,0.40200328826904297,9.550645414566995,0.09891510887355573,A
30.65131610909091,76.74344135454545,Hard Braking,2.1275964,1.3375632,0.65,11,0.11391448974609375,0.2593015730381012,-1.1826053980581044,0.7917442980510163,1.1826053980581044,1.7729970216751099,4.666725093232416,0.050199507894780726,A
30.6522617,76.7427913,Hard Braking,1.0187913,1.0187913,0.65,1,0.01035308837890625,0.15838469564914703,-1.4938075943121278,0.0,1.4938075943121278,0.8489927649497986,7.003950442112026,0.07251251792866531,A
30.65345735,76.74185021666666,Hard Braking,2.1661854,1.3144274,0.65,6,0.072509765625,0.24105408787727356,-0.8034046689313552,1.5066001587703042,1.5066001587703042,1.8051544427871704,5.625654285097593,0.12038119781521883,A
30.654110425,76.741071,Hard Braking,1.6214368,0.7527132,0.65,4,0.04144287109375,0.10157060623168945,-1.4051921802849723,0.41787281660701403,1.4051921802849723,1.351197361946106,9.54493429033846,0.10037792055643179,A
30.654445299999995,76.7406684,Hard Braking,1.5629296,0.7159755,0.65,6,0.0725250244140625,0.2706678509712219,-1.310407571998974,1.856009415107069,1.856009415107069,1.3024413585662842,6.9019538870269885,0.14264974342535547,A
30.6489055,76.7394329,Minor Anomaly,0.018201195,0.018201195,0.2,1,0.010334014892578125,0.049533095210790634,0.0,0.03640239097534703,0.03640239097534703,0.14190462231636047,4.531793219482342,0.04683161862021509,A
30.649429238461543,76.74037228461538,Minor Anomaly,0.24743709,0.103595145,0.2,13,0.15535545349121094,0.10614242404699326,-0.4948741746482854,0.4706070231158943,0.4948741746482854,1.1703397035598755,8.024864419482302,0.16599286935289323,A
30.6496583,76.7408415,Minor Anomaly,0.18832837,0.11440362,0.2,2,0.02071380615234375,0.06464514136314392,0.0,0.37665674462806464,0.37665674462806464,0.9711382389068604,7.906448773633519,0.0822551124993604,A
30.649814199999998,76.7411449,Minor Anomaly,0.23273979,0.12507798,0.2,3,0.031070709228515625,0.1388552039861679,0.0,0.4654795862546184,0.4654795862546184,1.2143595218658447,8.86679944456609,0.09207395454677693,A
30.650135472727268,76.74168696363637,Minor Anomaly,0.23441729,0.15021826,0.2,11,0.1346435546875,0.0678877905011177,-0.46883459004838457,0.3864344556580743,0.46883459004838457,1.3229455947875977,10.760230543107726,0.23222826432430377,A
30.6515179,76.7434598,Minor Anomaly,0.07243973,0.07243973,0.2,1,0.01035308837890625,0.07542283087968826,-0.14487945825816162,0.0,0.14487945825816162,0.13403604924678802,6.160702816455997,0.06378230073494558,A
30.651988250000002,76.74314395,Minor Anomaly,0.1843463,0.07643849,0.2,8,0.082855224609375,0.06878328323364258,-0.3686926169938678,0.2137921233158817,0.3686926169938678,1.4211171865463257,7.170398961695089,0.07565208861745894,A
30.6521786,76.7429015,Minor Anomaly,0.1053098,0.1053098,0.2,1,0.01035308837890625,0.01825353316962719,-0.21061959527977425,0.0,0.21061959527977425,0.1471748650074005,7.19908211833085,0.0745327334180829,A
30.65263845,76.74234634999999,Minor Anomaly,0.006158332,0.003442059,0.2,2,0.02071380615234375,0.053976066410541534,0.0,0.012316663993228616,0.012316663993228616,1.554836630821228,7.573622523229926,0.07845863615540893,A
30.6532324,76.7419746,Minor Anomaly,0.08146219,0.08146219,0.2,1,0.0103607177734375,0.07617170363664627,0.0,0.16292437179498442,0.16292437179498442,0.14359323680400848,7.5082656272805774,0.07779102113225574,A
30.6535651625,76.7417491125,Minor Anomaly,0.20747398,0.097955085,0.2,8,0.08286285400390625,0.4318754971027374,-0.17392058175057734,0.4149479524343871,0.4149479524343871,1.136698603630066,5.393362255204282,0.05900492042858906,A
30.653825766666667,76.74142683333334,Minor Anomaly,0.23583071,0.1441575,0.2,6,0.07248687744140625,0.08934245258569717,-0.30026737374714685,0.4716614314587737,0.4716614314587737,0.7177689075469971,9.82691820312638,0.19842379930257686,A
30.6539699,76.7412439,Minor Anomaly,0.011767549,0.011767549,0.2,1,0.0103607177734375,0.03888825327157974,-0.02353509816747401,0.0,0.02353509816747401,0.4044545590877533,10.317886230376518,0.10690070725136804,A
30.65426605,76.7408814,Minor Anomaly,0.2095427,0.13643728,0.2,8,0.103546142578125,0.25292688608169556,-0.41908542488237455,0.3254000724917052,0.41908542488237455,1.5220131874084473,8.253518114902159,0.27675778007677104,A
30.649519825,76.74054699999999,Pothole,8.446152,6.115263,0.8778498,4,0.08285713195800781,0.4786246418952942,-6.807983508995457,6.7823179490592125,6.807983508995457,1.0228443145751953,8.015460607694902,0.2495491640495968,A
30.64979255,76.74110529999999,Pothole,3.6083739,3.4407687,0.8080116,2,0.031070709228515625,0.3244459927082062,-2.6970263090510045,0.0,2.6970263090510045,0.3637234568595886,8.855794101532254,0.18251194261392817,A
30.6513128875,76.7434406625,Pothole,10.0,4.907107,1.0,8,0.16571044921875,1.6613616943359375,-7.198139119709304,12.256482612593677,12.256482612593677,1.9792077541351318,4.732808600376431,0.2479972893499673,A
30.653579450000002,76.74173235,Pothole,2.8015115,2.2347806,0.79027885,2,0.03107452392578125,0.38599029183387756,-1.745863513940228,0.17000004735956864,1.745863513940228,0.47056812047958374,5.462473185639523,0.11039561198226104,A
30.6539699,76.7412439,Pothole,10.0,6.5230603,0.55,4,0.1346435546875,0.2766709625720978,-8.263271384904996,4.8847700558348865,8.263271384904996,1.3325977325439453,10.287970050298021,0.6379683047549409,A
30.6542099,76.7409474,Pothole,6.3713584,6.3713584,0.95,1,0.0414276123046875,0.5763904452323914,-4.348814573687703,3.6878818269954596,4.348814573687703,1.4647836685180664,8.884936814480396,0.368081717701939,A
30.654445300000003,76.7406684,Pothole,9.292264,6.3995953,0.8091758,3,0.0828399658203125,0.5158488154411316,-7.256159565582217,4.2606782061512956,7.256159565582217,0.9952684640884399,6.8947265886921905,0.3580093164388466,A
30.6493824,76.740282,Road Bump,1.1894451,1.1894451,0.5,1,0.02071380615234375,0.44527965784072876,-0.022636434633133362,0.7929634583665273,0.7929634583665273,0.5276260375976562,8.480199664889223,0.1756572119916858,A
