Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Speed,Pothole
19:05:16.309,Gyroscope,0.011452,0.001731,-0.004394,,,0.00,0
19:05:16.344,Accelerometer,0.205783,1.630110,9.686745,,,0.00,0
19:05:16.345,Gyroscope,0.008522,-0.004527,-0.004128,,,0.00,0
19:05:16.345,Accelerometer,0.205783,1.630110,9.686745,,,0.00,0
19:05:16.345,Gyroscope,0.008522,-0.004527,-0.004128,,,0.00,0
19:05:16.384,Accelerometer,0.121436,1.329213,9.640084,,,0.00,0
19:05:16.386,Gyroscope,0.006392,-0.001598,-0.006924,,,0.00,0
19:05:16.388,Accelerometer,0.121436,1.329213,9.640084,,,0.00,0
19:05:16.390,Gyroscope,0.006392,-0.001598,-0.006924,,,0.00,0
19:05:16.401,Accelerometer,0.121436,1.329213,9.640084,,,0.00,0
19:05:16.402,Gyroscope,0.006392,-0.001598,-0.006924,,,0.00,0
19:05:16.436,Gyroscope,0.002264,-0.002397,-0.008256,,,0.00,0
19:05:16.437,Accelerometer,0.127418,1.430310,9.705289,,,0.00,0
19:05:16.437,Accelerometer,0.127418,1.430310,9.705289,,,0.00,0
19:05:16.438,Gyroscope,0.002264,-0.002397,-0.008256,,,0.00,0
19:05:16.470,Accelerometer,0.384646,1.375275,9.765109,,,0.00,0
19:05:16.471,Gyroscope,-0.003595,0.001198,-0.007457,,,0.00,0
19:05:16.472,Accelerometer,0.384646,1.375275,9.765109,,,0.00,0
19:05:16.486,Gyroscope,-0.001997,-0.005992,-0.004794,,,0.00,0
19:05:16.487,Accelerometer,0.040080,1.477568,9.945169,,,0.00,0
19:05:16.488,Gyroscope,-0.001997,-0.005992,-0.004794,,,0.00,0
19:05:16.522,Gyroscope,-0.000932,-0.008655,-0.002397,,,0.00,0
19:05:16.524,Accelerometer,0.140578,1.358525,9.721440,,,0.00,0
19:05:16.554,Accelerometer,0.106481,1.540978,9.808180,,,0.00,0
19:05:16.554,Gyroscope,0.000266,-0.002264,-0.000932,,,0.00,0
19:05:16.571,Accelerometer,0.382852,1.097707,9.898509,,,0.00,0
19:05:16.572,Gyroscope,0.000932,0.001065,0.000932,,,0.00,0
19:05:16.572,Accelerometer,0.382852,1.097707,9.898509,,,0.00,0
19:05:16.573,Gyroscope,0.000932,0.001065,0.000932,,,0.00,0
19:05:16.605,Accelerometer,0.156132,1.451845,9.967901,,,0.00,0
19:05:16.606,Gyroscope,0.004128,0.000533,-0.001332,,,0.00,0
19:05:16.622,Gyroscope,0.004128,0.000533,-0.001332,,,0.00,0
19:05:16.623,Accelerometer,0.156132,1.451845,9.967901,,,0.00,0
19:05:16.655,Gyroscope,0.008123,0.009321,-0.005593,,,0.00,0
19:05:16.656,Accelerometer,0.244068,1.448256,9.807582,,,0.00,0
19:05:16.657,Accelerometer,0.244068,1.448256,9.807582,,,0.00,0
19:05:16.657,Gyroscope,0.008123,0.009321,-0.005593,,,0.00,0
19:05:16.690,Gyroscope,0.004661,0.008788,-0.006525,,,0.00,0
19:05:16.691,Accelerometer,0.340977,1.458425,9.508479,,,0.00,0
19:05:16.691,Accelerometer,0.340977,1.458425,9.508479,,,0.00,0
19:05:16.707,Gyroscope,0.007057,0.003728,-0.005593,,,0.00,0
19:05:16.708,Gyroscope,0.007057,0.003728,-0.005593,,,0.00,0
19:05:16.726,Accelerometer,0.430708,1.365704,9.564112,,,0.00,0
19:05:16.741,Accelerometer,0.075972,1.923829,9.780065,,,0.00,0
19:05:16.741,Gyroscope,0.009854,0.007191,-0.005859,,,0.00,0
19:05:16.760,Accelerometer,0.213559,1.336391,9.305687,,,0.00,0
19:05:16.776,Gyroscope,0.009587,-0.001332,-0.001332,,,0.00,0
19:05:16.777,Accelerometer,0.242871,1.913062,9.592826,,,0.00,0
19:05:16.781,Gyroscope,0.009587,-0.001332,-0.001332,,,0.00,0
19:05:16.782,Accelerometer,0.242871,1.913062,9.592826,,,0.00,0
19:05:16.806,Gyroscope,0.012650,0.005326,-0.000666,,,0.00,0
19:05:16.807,Accelerometer,0.126221,2.063810,9.743574,,,0.00,0
19:05:16.824,Gyroscope,0.015446,0.012783,-0.001598,,,0.00,0
19:05:16.839,Accelerometer,0.064008,2.327618,9.809377,,,0.00,0
19:05:16.842,Gyroscope,0.015446,0.012783,-0.001598,,,0.00,0
19:05:16.858,Accelerometer,0.368495,1.770091,9.507282,,,0.00,0
19:05:16.875,Gyroscope,0.015180,0.006525,-0.002530,,,0.00,0
19:05:16.876,Accelerometer,0.265005,1.900499,9.575478,,,0.00,0
19:05:16.876,Gyroscope,0.015180,0.006525,-0.002530,,,0.00,0
19:05:16.889,Accelerometer,0.265005,1.900499,9.575478,,,0.00,0
19:05:16.907,Gyroscope,0.011585,-0.001198,-0.003995,,,0.00,0
19:05:16.908,Accelerometer,0.089133,2.421536,9.912866,,,0.00,0
19:05:16.908,Gyroscope,0.011585,-0.001198,-0.003995,,,0.00,0
19:05:16.938,Accelerometer,0.192024,2.424528,9.712467,,,0.00,0
19:05:16.940,Gyroscope,0.011851,0.000133,-0.006258,,,0.00,0
19:05:16.941,Accelerometer,0.192024,2.424528,9.712467,,,0.00,0
19:05:16.967,Gyroscope,0.003329,-0.003196,-0.009055,,,0.00,0
19:05:16.969,Accelerometer,0.302094,1.864607,9.554541,,,0.00,0
19:05:16.969,Gyroscope,0.003329,-0.003196,-0.009055,,,0.00,0
19:05:17.000,Gyroscope,0.001198,-0.003995,-0.007191,,,0.00,0
19:05:17.001,Accelerometer,0.035892,2.383251,10.106087,,,0.00,0
19:05:17.017,Accelerometer,0.309272,1.488934,9.840483,,,0.00,0
19:05:17.019,Gyroscope,0.003329,0.000932,-0.007723,,,0.00,0
19:05:17.019,Accelerometer,0.309272,1.488934,9.840483,,,0.00,0
19:05:17.048,Gyroscope,0.003862,-0.001198,-0.005992,,,0.00,0
19:05:17.065,Accelerometer,0.163908,2.129612,10.160523,,,0.00,0
19:05:17.067,Gyroscope,0.006924,0.001997,-0.005193,,,0.00,0
19:05:17.081,Accelerometer,0.256032,1.725823,9.376874,,,0.00,0
19:05:17.082,Gyroscope,0.003728,-0.006525,-0.003862,,,0.00,0
19:05:17.099,Accelerometer,0.200997,1.954936,9.451052,,,0.00,0
19:05:17.102,Gyroscope,0.003462,-0.001997,-0.005060,,,0.00,0
19:05:17.102,Accelerometer,0.200997,1.954936,9.451052,,,0.00,0
19:05:17.117,Gyroscope,0.003462,-0.001997,-0.005060,,,0.00,0
19:05:17.118,Accelerometer,0.037089,2.351547,9.904491,,,0.00,0
19:05:17.150,Gyroscope,0.000799,-0.003728,-0.001997,,,0.00,0
19:05:17.167,Accelerometer,0.382852,2.242075,9.493524,,,0.00,0
19:05:17.169,Gyroscope,-0.004661,0.000932,-0.003995,,,0.00,0
19:05:17.171,Accelerometer,0.382852,2.242075,9.493524,,,0.00,0
19:05:17.184,Gyroscope,-0.002264,-0.002530,-0.005193,,,0.00,0
19:05:17.202,Accelerometer,0.222533,1.614557,9.421740,,,0.00,0
19:05:17.206,Gyroscope,-0.002264,-0.002530,-0.005193,,,0.00,0
19:05:17.215,Accelerometer,0.314058,2.224727,9.683753,,,0.00,0
19:05:17.217,Gyroscope,-0.001332,-0.009321,-0.005859,,,0.00,0
19:05:17.229,Accelerometer,0.314058,2.224727,9.683753,,,0.00,0
19:05:17.230,Gyroscope,0.000533,0.002796,-0.004927,,,0.00,0
19:05:17.261,Accelerometer,0.273978,1.769492,9.400204,,,0.00,0
19:05:17.265,Gyroscope,0.001598,-0.007191,-0.005060,,,0.00,0
19:05:17.274,Accelerometer,0.273978,1.769492,9.400204,,,0.00,0
19:05:17.275,Gyroscope,0.002663,-0.009055,-0.002397,,,0.00,0
19:05:17.304,Gyroscope,0.001598,-0.003462,-0.005992,,,0.00,0
19:05:17.305,Accelerometer,0.119043,2.354537,9.780663,,,0.00,0
19:05:17.319,Gyroscope,0.001598,-0.003462,-0.005992,,,0.00,0
19:05:17.321,Accelerometer,0.464806,1.853839,9.598209,,,0.00,0
19:05:17.332,Accelerometer,0.464806,1.853839,9.598209,,,0.00,0
19:05:17.334,Gyroscope,0.005459,-0.000266,-0.006125,,,0.00,0
19:05:17.364,Accelerometer,0.245863,2.194817,9.493524,,,0.00,0
19:05:17.365,Gyroscope,-0.001198,-0.003196,-0.007590,,,0.00,0
19:05:17.365,Accelerometer,0.245863,2.194817,9.493524,,,0.00,0
19:05:17.374,Gyroscope,-0.001198,-0.003196,-0.007590,,,0.00,0
19:05:17.390,Accelerometer,0.285344,2.117648,9.860224,,,0.00,0
19:05:17.391,Gyroscope,0.000666,0.000932,-0.006924,,,0.00,0
19:05:17.416,Accelerometer,0.217747,2.005185,9.658031,,,0.00,0
19:05:17.418,Gyroscope,-0.005593,0.003063,-0.004661,,,0.00,0
19:05:17.431,Accelerometer,0.217747,2.005185,9.658031,,,0.00,0
19:05:17.432,Gyroscope,-0.004927,0.007590,-0.003728,,,0.00,0
19:05:17.460,Gyroscope,-0.004661,0.013049,-0.002530,,,0.00,0
19:05:17.462,Accelerometer,0.288335,1.690529,9.428918,,,0.00,0
19:05:17.464,Accelerometer,0.288335,1.690529,9.428918,,,0.00,0
19:05:17.474,Gyroscope,-0.004661,0.013049,-0.002530,,,0.00,0
