time,seconds_elapsed,z,y,x
1773048888453889500,0.1698896484375,-266.6625061035156,167.85000610351562,7.012500286102295
1773048888463889700,0.1798896484375,-267.1312561035156,168.3937530517578,8.40000057220459
1773048888493889500,0.2098896484375,-266.98126220703125,168.61875915527344,9.1875
1773048888503889700,0.2198896484375,-267.1500244140625,168.99375915527344,9.506250381469727
1773048888513889500,0.2298896484375,-267.2062683105469,168.97500610351562,9.356250762939453
1773048888523889700,0.2398896484375,-266.90625,168.88125610351562,9.168750762939453
1773048888533889500,0.2498896484375,-266.79376220703125,168.9375,9.450000762939453
1773048888543889700,0.2598896484375,-266.53125,169.03125,9.581250190734863
1773048888553889500,0.2698896484375,-266.5500183105469,169.125,9.5625
1773048888563889700,0.2798896484375,-266.41876220703125,169.25625610351562,9.768750190734863
1773048888573889500,0.2898896484375,-266.625,169.46250915527344,9.65625
1773048888583889700,0.2998896484375,-266.41876220703125,169.2375030517578,9.506250381469727
1773048888593889500,0.3098896484375,-266.0812683105469,169.35000610351562,9.71250057220459
1773048888603889700,0.3198896484375,-266.51251220703125,169.55625915527344,9.787500381469727
1773048888613889500,0.3298896484375,-266.9437561035156,169.9875030517578,9.75
1773048888623889700,0.3398896484375,-267.3937683105469,169.8000030517578,9.43125057220459
1773048888633889500,0.3498896484375,-267.5812683105469,169.76251220703125,9.393750190734863
1773048888643889700,0.3598896484375,-267.7687683105469,170.00625610351562,9.506250381469727
1773048888653889500,0.3698896484375,-267.7125244140625,169.93125915527344,9.300000190734863
1773048888663889700,0.3798896484375,-267.84375,169.66876220703125,9.168750762939453
1773048888673889500,0.3898896484375,-267.8812561035156,169.08750915527344,9.018750190734863
1773048888683889700,0.3998896484375,-267.54376220703125,168.97500610351562,9.206250190734863
1773048888693889500,0.4098896484375,-266.9250183105469,168.73126220703125,9.5625
1773048888703889700,0.4198896484375,-266.41876220703125,168.78750610351562,9.975000381469727
1773048888713889500,0.4298896484375,-265.7437744140625,168.63751220703125,10.162500381469727
