time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771681478659247000,0.5732470703125,3.904552698135376,0.15620499849319458,8.566200256347656,3.809999942779541,2.5799999237060547,329,273,76.7345966,30.6623979
1771681479659285000,1.573284912109375,3.2677059173583984,0.12041594833135605,8.576201438903809,3.809000015258789,2.5399999618530273,328,273,76.7345834,30.6624161
1771681480659396600,2.573396728515625,3.522794246673584,0.14866068959236145,8.586202621459961,3.809000015258789,2.7899999618530273,328,273,76.7345679,30.6624372
1771681481659509200,3.57350927734375,2.8758959770202637,0.14866068959236145,9.614770889282227,3.806999921798706,3.430000066757202,328,273,76.7345499,30.6624618
1771681482659299000,4.573299072265625,2.2523107528686523,0.12041594833135605,9.624768257141113,3.809000015258789,3.700000047683716,328,273,76.7345314,30.6624881
1771681483659542300,5.573542236328125,3.1746609210968018,0.15620499849319458,9.634771347045898,3.809999942779541,3.1500000953674316,329,273,76.7345135,30.6625138
1771681484659797200,6.57379736328125,2.471240997314453,0.12041594833135605,9.644773483276367,3.809999942779541,3.3399999141693115,329,273,76.7344983,30.6625366
1771681485659078400,7.573078369140625,1.9844791889190674,0.12727922201156616,9.654766082763672,3.809000015258789,4.25,331,273,76.7344797,30.6625679
1771681486659834600,8.573834716796876,2.019296884536743,0.16278821229934692,9.664773941040039,3.809000015258789,4.920000076293945,327,273,76.7344525,30.6626063
1771681487659862500,9.573862548828124,2.073495626449585,0.12041594833135605,9.674774169921875,3.809000015258789,4.079999923706055,326,273,76.7344297,30.6626367
1771681488659822000,10.573822021484375,4.0115132331848145,0.15620499849319458,9.684773445129395,3.809000015258789,2.509999990463257,327,273,76.7344116,30.6626595
1771681489659033300,11.573033447265624,3.3471133708953857,0.12727922201156616,9.6947660446167,3.808000087738037,2.4800000190734863,325,273,76.7343973,30.6626781
1771681490659241000,12.573240966796876,3.191228151321411,0.12041594833135605,9.704768180847168,3.809000015258789,2.5799999237060547,327,273,76.7343838,30.6626976
1771681491659261000,13.573260986328124,3.3461952209472656,0.15620499849319458,9.714768409729004,3.809000015258789,2.950000047683716,327,273,76.7343673,30.6627202
1771681492659589000,14.573589111328126,2.680833101272583,0.1414213627576828,14.584126472473145,3.808000087738037,3.2200000286102295,330,273,76.734352,30.6627429
1771681493659855400,15.57385546875,2.3334414958953857,0.1345362365245819,14.594128608703613,3.806999921798706,3.6600000858306885,331,273,76.7343346,30.6627704
1771681494659609600,16.573609619140626,2.23740816116333,0.16278821229934692,14.6041259765625,3.809000015258789,4.449999809265137,330,273,76.7343118,30.6628058
1771681495659792400,17.57379248046875,1.9882140159606934,0.1414213627576828,14.614128112792969,3.809999942779541,4.349999904632568,328,273,76.73429,30.6628372
1771681496659018200,18.573018310546875,6.286411762237549,0.44999998807907104,14.624120712280273,3.819000005722046,2.2100000381469727,328,273,76.7342752,30.6628583
1771681497659273500,19.5732734375,5.361636161804199,0.18384777009487152,14.634122848510742,3.819999933242798,1.9800000190734863,327,273,76.7342627,30.6628753
1771681498659067000,20.57306689453125,4.591015815734863,0.1345362365245819,14.644121170043945,3.821000099182129,1.9199999570846558,326,273,76.7342521,30.6628891
1771681499659307300,21.573307373046877,6.982614040374756,0.2126029133796692,14.654123306274414,3.8239998817443848,1.6399999856948853,326,273,76.7342417,30.6629034
1771681500659123000,22.573123046875,6.2045207023620605,0.3753664791584015,14.664121627807617,3.828000068664551,1.4500000476837158,325,273,76.7342342,30.662914
1771681501659873000,23.573873046875,5.266276836395264,0.4455333948135376,14.674128532409668,3.8299999237060547,1.850000023841858,325,273,76.7342243,30.662927
1771681502659580000,24.573579833984375,4.599458694458008,0.2545584440231323,14.684125900268555,3.8329999446868896,2.5799999237060547,324,273,76.7342092,30.6629453
1771681503659676200,25.57367626953125,3.6001060009002686,0.15556348860263824,14.694127082824707,3.8329999446868896,2.5799999237060547,323,273,76.7341943,30.6629635
1771681504659865600,26.573865478515625,6.427030563354492,0.750732958316803,14.704129219055176,3.8570001125335693,1.9900000095367432,325,273,76.7341807,30.6629799
1771681505659171300,27.57317138671875,6.106207847595215,0.25612497329711914,14.71412181854248,3.8529999256134033,1.8200000524520874,324,273,76.7341698,30.6629928
1771681506659839700,28.57383984375,4.649291515350342,0.1984943300485611,14.724128723144531,3.8469998836517334,2.130000114440918,325,273,76.7341578,30.6630079
1771681507659128300,29.57312841796875,5.456699371337891,0.191049724817276,14.734121322631836,3.8420000076293945,2.5999999046325684,325,273,76.734143,30.6630273
1771681508659381500,30.573381591796874,3.757035970687866,0.1414213627576828,14.744124412536621,3.8369998931884766,2.4000000953674316,327,273,76.7341305,30.6630441
1771681509659155500,31.573155517578126,3.5684401988983154,0.1345362365245819,14.754121780395508,3.8369998931884766,2.4200000762939453,327,273,76.7341163,30.6630621
1771681510659408600,32.57340869140625,3.4474947452545166,0.18384777009487152,14.764123916625977,3.813999891281128,3.009999990463257,330,273,76.734101,30.663085
1771681511659601000,33.57360083007813,2.4748852252960205,0.12727922201156616,14.774126052856445,3.812999963760376,3.430000066757202,327,273,76.7340838,30.6631092
1771681512659601200,34.57360107421875,2.72407865524292,0.1414213627576828,14.784126281738281,3.809000015258789,3.1700000762939453,326,273,76.7340654,30.6631328
1771681513659442200,35.57344213867187,2.866626024246216,0.18384777009487152,14.794124603271484,3.811000108718872,3.680000066757202,327,273,76.7340443,30.6631607
1771681514659121700,36.57312158203125,1.8276606798171997,0.1345362365245819,14.804121017456055,3.809999942779541,4.679999828338623,328,273,76.7340216,30.6631923
1771681515659294700,37.573294677734374,0.9917987585067749,0.07810249924659729,14.814123153686523,3.808000087738037,6.130000114440918,327,273,76.7339902,30.6632348
1771681516659548000,38.5735478515625,1.2087147235870361,0.1414213627576828,14.824125289916992,3.805999994277954,7.199999809265137,327,273,76.7339527,30.6632857
1771681517659824400,39.57382446289063,1.0377490520477295,0.14866068959236145,14.834128379821777,3.806999921798706,8.420000076293945,326,273,76.7339071,30.6633459
1771681518658027800,40.57202783203125,1.0440632104873657,0.16278821229934692,14.844110488891602,3.808000087738037,9.739999771118164,326,273,76.7338495,30.6634208
1771681519658209000,41.572208984375,0.8540754318237305,0.1414213627576828,14.85411262512207,3.805999994277954,10.170000076293945,325,273,76.7337943,30.6634905
1771681520658408000,42.57240795898438,0.8443091511726379,0.1414213627576828,14.864114761352539,3.805999994277954,10.229999542236328,326,273,76.7337349,30.6635667
1771681521658619000,43.57261889648437,0.774272620677948,0.12727922201156616,14.874116897583008,3.808000087738037,10.8100004196167,326,273,76.7336732,30.6636458
1771681522658331100,44.5723310546875,0.7389578223228455,0.12727922201156616,14.884113311767578,3.808000087738037,11.390000343322754,326,273,76.7336081,30.6637296
1771681523658503000,45.5725029296875,0.8324893712997437,0.15620499849319458,14.894115447998047,3.808000087738037,12.010000228881836,326,273,76.733535,30.6638244
1771681524658363100,46.572363037109376,0.6558904647827148,0.12727922201156616,14.90411376953125,3.806999921798706,12.649999618530273,326,273,76.733468,30.6639114
1771681525658226700,47.57222680664062,0.6470206379890442,0.1414213627576828,14.914112091064453,3.806999921798706,13.170000076293945,326,273,76.7333924,30.6640095
