time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771681126660675000,0.435675048828125,3.9637789726257324,0.14212670922279358,1.5725668668746948,3.812000036239624,2.440000057220459,329,272.4000244140625,76.7373216,30.6584947
1771681127660673300,1.43567333984375,2.3739736080169678,0.12041594833135605,1.5825668573379517,3.809999942779541,3.450000047683716,329,272.4000244140625,76.7373056,30.6585173
1771681128660720000,2.43572021484375,2.3032724857330322,0.14866068959236145,1.5925673246383667,3.806999921798706,4.21999979019165,329,272.4000244140625,76.7372826,30.6585505
1771681129660779500,3.435779541015625,2.333094358444214,0.14866068959236145,1.4924507141113281,3.811000108718872,4.199999809265137,328,272.70001220703125,76.73726,30.6585828
1771681130660320000,4.435320068359375,1.8434267044067383,0.12041594833135605,1.5024460554122925,3.809999942779541,4.440000057220459,329,272.70001220703125,76.7372385,30.6586134
1771681131660643600,5.4356435546875,1.7983143329620361,0.14866068959236145,1.5124492645263672,3.809999942779541,5.420000076293945,328,272.70001220703125,76.7372079,30.6586548
1771681132660863700,6.43586376953125,0.8219393491744995,0.05656854063272476,1.5224515199661255,3.808000087738037,6.760000228881836,328,272.70001220703125,76.7371757,30.6587005
1771681133660114700,7.43511474609375,1.2489839792251587,0.14866068959236145,1.5324440002441406,3.808000087738037,7.789999961853027,329,272.70001220703125,76.7371342,30.6587606
1771681134660808200,8.43580810546875,1.252359390258789,0.14866068959236145,1.542451024055481,3.806999921798706,7.769999980926514,328,272.70001220703125,76.7370926,30.6588189
1771681135660507600,9.435507568359375,1.08735191822052,0.12041594833135605,1.5524479150772095,3.806999921798706,7.570000171661377,328,272.70001220703125,76.7370527,30.6588733
1771681136660807000,10.435806884765626,1.8309038877487183,0.14866068959236145,1.5624510049819946,3.806999921798706,5.519999980926514,329,272.70001220703125,76.7370179,30.6589238
1771681137660527400,11.43552734375,3.2540314197540283,0.12041594833135605,1.5724481344223022,3.806999921798706,2.5399999618530273,329,272.70001220703125,76.7370027,30.6589467
1771681138660682000,12.435681884765625,6.106979846954346,0.12041594833135605,1.5824496746063232,3.808000087738037,1.3300000429153442,328,272.70001220703125,76.7369936,30.6589591
1771681139660876300,13.435876220703125,7.835908889770508,0.08485281467437744,1.5924516916275024,3.805000066757202,0.9100000262260437,327,272.70001220703125,76.7369877,30.6589671
