time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1773047957175714300,1.27871435546875,7.117709636688232,0.23741790652275085,5.050529479980469,3.7899999618530273,1.7799999713897705,246,269.9000244140625,76.7380479,30.6479379
1773047957214148600,1.317148681640625,13.679949760437012,0.7177188992500305,5.0509138107299805,3.7899999618530273,1.7899999618530273,246,269.9000244140625,76.7380353,30.6479342
1773047958214443000,2.317443115234375,9.905930519104004,0.7004586458206177,1.4646624326705933,3.7899999618530273,1.8799999952316284,238,269.8000183105469,76.7380108,30.6479279
1773047959213942500,3.316942626953125,15.757463455200195,0.7283034324645996,1.474657416343689,3.7899999618530273,1.850000023841858,238,269.8000183105469,76.7379883,30.6479197
1773047960214615300,4.317615234375,0.7793000936508179,0.021854477003216743,1.4846640825271606,3.7899999618530273,1.7999999523162842,235,269.8000183105469,76.7379679,30.6479103
1773047961214068500,5.317068359375,0.697628915309906,0.023789016529917717,1.4946585893630981,3.7899999618530273,2.190000057220459,235,269.8000183105469,76.7379467,30.6478997
1773047962214901800,6.31790185546875,0.49331149458885193,0.021716656163334846,1.5046669244766235,3.7899999618530273,2.819999933242798,234,269.8000183105469,76.7379223,30.6478873
1773047963214466800,7.317466796875,0.3556997776031494,0.018635444343090057,1.5146626234054565,3.7899999618530273,3.359999895095825,234,269.8000183105469,76.7378938,30.6478723
1773047964213940700,8.316940673828125,0.39547714591026306,0.019548790529370308,1.5246573686599731,3.7899999618530273,3.1700000762939453,234,269.8000183105469,76.7378657,30.6478567
1773047965214566100,9.317566162109374,0.4170010983943939,0.01992090791463852,1.5346636772155762,3.7899999618530273,3.059999942779541,234,269.8000183105469,76.7378386,30.6478414
1773047966214146600,10.317146484375,0.4016583263874054,0.02002602629363537,1.5446593761444092,3.7899999618530273,3.200000047683716,235,269.8000183105469,76.7378108,30.6478256
1773047967214731800,11.317731689453124,0.3497413694858551,0.020215902477502823,1.5546653270721436,3.7899999618530273,3.7100000381469727,235,269.8000183105469,76.7377801,30.647808
1773047968214321700,12.31732177734375,0.2930556833744049,0.01925518549978733,1.5646611452102661,3.7899999618530273,4.210000038146973,233,269.8000183105469,76.7377459,30.6477873
1773047969214144300,13.317144287109375,0.27612119913101196,0.01891898177564144,1.5746593475341797,3.7899999618530273,4.389999866485596,232,269.8000183105469,76.7377101,30.6477639
1773047970214819800,14.31781982421875,0.30360567569732666,0.019614502787590027,1.368221640586853,3.7899999618530273,4.139999866485596,232,271,76.7376753,30.6477409
1773047971214598000,15.317597900390625,0.3315390646457672,0.019518667832016945,1.378219485282898,3.7899999618530273,3.7699999809265137,233,271,76.7376427,30.6477196
1773047972214438400,16.3174384765625,0.36666399240493774,0.020014431327581406,1.388217806816101,3.7899999618530273,3.5,235,271,76.7376113,30.6477011
1773047973214098000,17.317097900390625,0.41257134079933167,0.020838864147663116,1.3982144594192505,3.7899999618530273,3.240000009536743,236,271,76.7375819,30.6476843
1773047974213927400,18.316927490234374,0.4527797996997833,0.021862098947167397,1.4082127809524536,3.7899999618530273,3.0999999046325684,236,271,76.7375541,30.6476682
1773047975214619600,19.31761962890625,0.48445427417755127,0.02332555130124092,1.4182196855545044,3.7899999618530273,3.0899999141693115,237,271,76.7375266,30.6476528
1773047976214320000,20.317320068359376,0.4242974519729614,0.022966207936406136,1.4282166957855225,3.7899999618530273,3.4700000286102295,236,271,76.7374972,30.6476361
1773047977213946600,21.316946533203126,0.3597639501094818,0.021684998646378517,1.4382129907608032,3.7899999618530273,3.859999895095825,236,271,76.7374647,30.6476176
1773047978214791400,22.31779150390625,0.34889277815818787,0.023052174597978592,1.4482214450836182,3.7899999618530273,4.239999771118164,237,271,76.7374289,30.6475975
1773047979214488300,23.31748828125,0.3539222776889801,0.02471964992582798,1.4582183361053467,3.7899999618530273,4.480000019073486,237,271,76.7373905,30.6475761
1773047980214134800,24.317134765625,0.35632139444351196,0.024994712322950363,1.4682148694992065,3.7899999618530273,4.5,235,271,76.7373519,30.6475535
1773047981214686000,25.31768603515625,0.3428792357444763,0.024945072829723358,1.4782203435897827,3.7899999618530273,4.670000076293945,235,271,76.7373122,30.64753
1773047982214506200,26.31750634765625,0.32422763109207153,0.024677898734807968,1.4882185459136963,3.7899999618530273,4.880000114440918,236,271,76.7372703,30.647506
1773047983213951000,27.316950927734375,0.33709076046943665,0.02485177107155323,1.4982129335403442,3.7899999618530273,4.730000019073486,238,271,76.7372278,30.6474832
